Year,Total Catch,Fish Catch,JSM,JA,PCM,SYC,LH,BS
1950,545579,,,,,,,
1951,814817,633156,,,,,,
1952,1060062,829717,,,,,,
1953,1218135,846452,,,,,,
1954,1305390,893943,,,,,,
1955,1549129,1148216,,,,,,
1956,1642039,1174636,,,,136496,167535,
1957,1814811,1373021,,,11910,163343,199676,
1958,1623934,1206814,,,18171,104297,182150,
1959,1753607,1344572,,,14541,98323,213644,
1960,1748795,1367677,,,10543,136192,280263,
1961,1336236,1072195,,,3469,100720,201809,
1962,1409953,1160889,,,6233,72221,322270,
1963,1670668,1363984,,,6818,81715,311815,
1964,1803509,1492067,,,,56318,386540,
1965,1909756,1595654,,,26146,44322,378227,
1966,2056356,1781110,,,27019,48997,372742,
1967,2052675,1327700,,,22013,49568,405355,
1968,1775506,120733,,,30304,29290,286364,
1969,1890658,1076392,,,32782,28111,350822,
1970,2097147,1267313,,,27641,30392,391825,
1971,2330653,1977468,,,36561,33990,429616,
1972,2658658,2305040,,,37014,20531,495452,
1973,2690684,2254108,,,62668,31865,564455,
1974,3005872,2516349,,,73041,46405,577335,
1975,3068017,2552885,,,31594,54959,483831,
1976,3122281,2611363,,,43789,50147,433619,
1977,3195060,2652865,,,76393,41883,392515,230142
1978,3145249,2560721,15576,,80396,23891,387164,310351
1979,2772864,2312553,42427,,111637,35663,437206,105391
1980,3257038,2341193,51457,,83760,35957,473315,161365
1981,2774128,2317360,48148,,73466,35186,499012,208600
1982,3593050,2578455,60935,,107005,30562,493373,265938
1983,3072296,2504010,62102,,153888,28462,451771,137923
1984,3305220,2661087,74937,,123933,19623,450030,324245
1985,3485166,2731405,90623,,92573,30628,458723,272674
1986,3896140,3075213,94218,,132196,19806,406403,426918
1987,4381079,3485649,99006,,166039,20143,393606,407210
1988,4633306,3596334,124810,,240699,23954,365730,263294
1989,5036394,3792938,148079,39957,231625,16778,416202,392068
1990,5508862,4188107,208569,54140,196823,23458,497733,308089
1991,6096358,4615225,200643,113050,242639,47158,559358,285601
1992,6912314,5117528,146756,192720,243143,63047,622243,157965
1993,7673429,5394240,145480,557237,272604,78311,635315,95500
1994,8958917,6372981,202811,438955,336091,102976,878144,196312
1995,10268373,7346035,226520,489066,327038,153048,1039684,122358
1996,12489772,8052809,283784,671376,374402,253482,1071914,210188
1997,13853804,9387388,340302,1201964,408933,142681,1014598,296781
1998,14966765,10253010,517528,1373328,385183,191851,1223360,235603
1999,14976223,10242231,565764,1096916,402540,243101,1222454,240214
2000,14774524,9900182,496566,1142884,350750,281717,1285469,221683
2001,14406144,9632356,476690,1260712,381561,245325,1282698,201733
2002,14334934,9644846,506195,1173196,415364,260457,1287798,158661
2003,14323121,9731406,393807,1302388,436382,279809,1264857,183785
2004,14510858,9590111,380634,1101716,451032,314466,1402926,198790
2005,14532984,9729281,420044,1039880,493313,327520,1284569,248730
2006,14420359,9658444,393266,974570,475608,347887,1420137,218104
2007,12435480,8224231,455135,806528,343821,338843,1152001,176753
2008,11496270,7859926,434179,658721,592637,354665,1192721,184114
2009,11786109,8040286,429057,521897,397010,372895,1172440,209716
2010,12035946,8255051,476208,598110,492005,406868,1186841,204541
2011,12419386,8639947,467905,766639,563179,399462,1118221,202484
2012,1267891,8758466,459274,824153,509546,400615,1096694,194614
2013,12643822,8717638,472022,866808,511500,364112,1096812,190356
2014,12808371,8807901,428475,926462,480425,342725,1084184,192330
2015,13147811,9053722,428517,955750,471211,378335,1105713,187987
2016,13282650,9185202,359472,816161,448603,296321,1037879,169296
2017,11124203,7652163,355564,703655,444839,290732,1012329,157443
2018,10444647,7162277,356711,658395,432504,282553,939732,139151
2019,10001515,6828817,348929,625352,414710,284238,916693,127669
2020,9474104,6487763,355079,609882,392556,292290,903435,122327
