Ybirth,Pi,Ps,growth,Gi,Gd,l,age_mat,Lp50,Finput,CVg
142,-7.16,0.03,157,0.68,0.6,574.19,2,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,421.23,1,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,574.19,2,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,574.19,2,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,574.19,2,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,574.19,2,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,723.37,3,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,421.23,1,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,723.37,3,238.67,0.2,0
142,-7.16,0.03,157,0.68,0.6,574.19,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,416.44,1,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,416.44,1,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,708.77,3,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,708.77,3,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,416.44,1,238.67,0.2,0
143,-7.16,0.03,157,0.68,0.6,565.62,2,238.67,0.2,0
144,-7.16,0.03,157,0.68,0.6,683.84,3,238.67,0.2,0
144,-7.16,0.03,157,0.68,0.6,550.09,2,238.67,0.2,0
