SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg
9830.6,3.93E+06,73.824,1178,0.2,0
15968,3.37E+06,73.824,1331,0.2,0
23062,5.15E+06,73.824,1481,0.2,0
28679,6.52E+06,73.824,1653,0.2,0
29933,7.44E+06,73.824,1705,0.2,0
31578,7.89E+06,73.824,1681,0.2,0
33790,8.86E+06,73.824,1753,0.2,0
32722,8.85E+06,73.824,1753,0.2,0
33713,8.32E+06,73.824,1740,0.2,0
34054,9.33E+06,73.824,1853,0.2,0
35395,9.74E+06,73.824,1841,0.2,0
37448,1.02E+07,73.824,1736,0.2,0
36826,1.01E+07,73.824,1724,0.2,0
33872,9.44E+06,73.824,1767,0.2,0
34323,8.44E+06,73.824,1700,0.2,0
34363,9.21E+06,73.824,1757,0.2,0
33916,9.75E+06,73.824,1789,0.2,0
33947,9.62E+06,73.824,1777,0.2,0
36090,1.00E+07,73.824,1702,0.2,0
34131,9.62E+06,73.824,1741,0.2,0
33515,8.84E+06,73.824,1770,0.2,0
34237,9.55E+06,73.824,1788,0.2,0
36119,9.08E+06,73.824,1743,0.2,0
33758,9.59E+06,73.824,1787,0.2,0
34727,9.35E+06,73.824,1827,0.2,0
36787,9.86E+06,73.824,1793,0.2,0
37068,9.69E+06,73.824,1831,0.2,0
35119,9.83E+06,73.824,1779,0.2,0
36168,1.03E+07,73.824,1773,0.2,0
36837,1.06E+07,73.824,1699,0.2,0
34029,1.07E+07,73.824,1720,0.2,0
33487,9.97E+06,73.824,1775,0.2,0
33254,9.19E+06,73.824,1810,0.2,0
37476,9.43E+06,73.824,1797,0.2,0
34988,1.10E+07,73.824,1719,0.2,0
33847,1.05E+07,73.824,1662,0.2,0
34338,8.97E+06,73.824,1797,0.2,0
35307,9.44E+06,73.824,1802,0.2,0
35254,9.63E+06,73.824,1796,0.2,0
33800,9.49E+06,73.824,1821,0.2,0
35861,1.00E+07,73.824,1854,0.2,0
37124,1.09E+07,73.824,1757,0.2,0
35814,1.05E+07,73.824,1775,0.2,0
36584,1.04E+07,73.824,1717,0.2,0
34721,9.61E+06,73.824,1672,0.2,0
32533,9.39E+06,73.824,1746,0.2,0
33551,8.00E+06,73.824,1712,0.2,0
34645,8.79E+06,73.824,1734,0.2,0
33907,9.23E+06,73.824,1786,0.2,0
36327,9.71E+06,73.824,1786,0.2,0
34696,9.68E+06,73.824,1770,0.2,0
34002,8.98E+06,73.824,1761,0.2,0
35642,9.20E+06,73.824,1780,0.2,0
36422,1.01E+07,73.824,1709,0.2,0
34647,1.03E+07,73.824,1668,0.2,0
33651,9.25E+06,73.824,1707,0.2,0
31760,8.42E+06,73.824,1706,0.2,0
34199,9.17E+06,73.824,1753,0.2,0
33629,9.52E+06,73.824,1809,0.2,0
34566,8.68E+06,73.824,1754,0.2,0
35027,9.25E+06,73.824,1780,0.2,0
35077,9.81E+06,73.824,1807,0.2,0
34537,8.91E+06,73.824,1762,0.2,0
35673,8.81E+06,73.824,1763,0.2,0
36527,9.64E+06,73.824,1780,0.2,0
35861,9.94E+06,73.824,1692,0.2,0
35123,9.76E+06,73.824,1726,0.2,0
