SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg
1.62E+07,1.67E+08,480.67,2705,0.2,0
1.83E+07,1.31E+08,480.67,2927,0.2,0
2.08E+07,1.34E+08,480.67,3091,0.2,0
2.37E+07,1.39E+08,480.67,3211,0.2,0
2.66E+07,1.53E+08,480.67,3382,0.2,0
2.93E+07,1.75E+08,480.67,3363,0.2,0
3.11E+07,1.93E+08,480.67,3294,0.2,0
3.19E+07,2.02E+08,480.67,3183,0.2,0
3.19E+07,2.15E+08,480.67,3195,0.2,0
3.15E+07,2.12E+08,480.67,3275,0.2,0
3.19E+07,2.22E+08,480.67,3241,0.2,0
3.08E+07,2.22E+08,480.67,3234,0.2,0
3.08E+07,2.20E+08,480.67,3212,0.2,0
3.11E+07,2.17E+08,480.67,3181,0.2,0
3.03E+07,2.10E+08,480.67,3146,0.2,0
3.10E+07,2.10E+08,480.67,3126,0.2,0
3.09E+07,2.10E+08,480.67,3109,0.2,0
3.18E+07,2.06E+08,480.67,3137,0.2,0
3.16E+07,2.17E+08,480.67,3122,0.2,0
3.13E+07,2.19E+08,480.67,3058,0.2,0
3.06E+07,2.10E+08,480.67,3081,0.2,0
3.12E+07,2.13E+08,480.67,3018,0.2,0
3.02E+07,2.08E+08,480.67,3032,0.2,0
3.03E+07,1.97E+08,480.67,3254,0.2,0
3.11E+07,2.01E+08,480.67,3248,0.2,0
3.17E+07,2.08E+08,480.67,3149,0.2,0
3.19E+07,2.03E+08,480.67,3112,0.2,0
3.22E+07,2.14E+08,480.67,3062,0.2,0
3.15E+07,2.14E+08,480.67,3092,0.2,0
3.15E+07,2.13E+08,480.67,3115,0.2,0
3.17E+07,2.14E+08,480.67,3125,0.2,0
3.12E+07,2.19E+08,480.67,3052,0.2,0
3.09E+07,2.18E+08,480.67,3030,0.2,0
3.05E+07,2.13E+08,480.67,3054,0.2,0
3.02E+07,2.08E+08,480.67,3124,0.2,0
3.15E+07,2.13E+08,480.67,3136,0.2,0
3.20E+07,2.18E+08,480.67,3124,0.2,0
3.19E+07,2.21E+08,480.67,3079,0.2,0
3.14E+07,2.15E+08,480.67,3107,0.2,0
3.11E+07,2.11E+08,480.67,3121,0.2,0
3.12E+07,2.12E+08,480.67,3066,0.2,0
3.06E+07,2.11E+08,480.67,3057,0.2,0
3.10E+07,2.12E+08,480.67,3067,0.2,0
3.13E+07,2.11E+08,480.67,3107,0.2,0
3.14E+07,2.12E+08,480.67,3123,0.2,0
3.13E+07,2.08E+08,480.67,3129,0.2,0
3.15E+07,2.09E+08,480.67,3140,0.2,0
