Ybirth,Pi,Ps,growth,Gi,Gd,l,age_mat,Lp50,Finput,CVg
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,1031.8,3,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,1031.8,3,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,845.98,2,289.5,0.2,0
144,-5.79,0.02,233,0.65,0.68,644.76,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,798.35,2,289.5,0.2,0
145,-5.79,0.02,233,0.65,0.68,612.51,1,289.5,0.2,0
