Ybirth,Pi,Ps,growth,Gi,Gd,l,age_mat,Lp50,Finput,CVg
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,495.01,1,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,495.01,1,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
144,-7.79,0.03,218,0.65,0.5,704.09,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,486.26,1,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,486.26,1,259.67,0.2,0
145,-7.79,0.03,218,0.65,0.5,686.48,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,468.57,1,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,468.57,1,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,468.57,1,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,468.57,1,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,468.57,1,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,651.07,2,259.67,0.2,0
146,-7.79,0.03,218,0.65,0.5,468.57,1,259.67,0.2,0
