Ybirth,Pi,Ps,growth,Gi,Gd,l,age_mat,Lp50,Finput,CVg
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,289.38,1,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,289.38,1,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,289.38,1,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,289.38,1,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,289.38,1,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,289.38,1,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,289.38,1,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,289.38,1,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
145,-7.68,0.05,119,0.6,0.65,388.58,2,153.6,0.2,0
