SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg
3.61E+05,2.80E+08,153.6,1913,0.2,0
4.22E+05,2.38E+08,153.6,2166,0.2,0
5.67E+05,2.80E+08,153.6,2332,0.2,0
6.63E+05,3.58E+08,153.6,2535,0.2,0
7.79E+05,4.35E+08,153.6,2681,0.2,0
8.76E+05,5.04E+08,153.6,2820,0.2,0
8.58E+05,5.36E+08,153.6,2849,0.2,0
8.83E+05,5.57E+08,153.6,2956,0.2,0
9.38E+05,5.71E+08,153.6,2995,0.2,0
1.00E+06,5.73E+08,153.6,3070,0.2,0
1.01E+06,6.43E+08,153.6,2922,0.2,0
1.02E+06,6.91E+08,153.6,2966,0.2,0
9.93E+05,6.87E+08,153.6,2972,0.2,0
1.02E+06,6.48E+08,153.6,3046,0.2,0
9.99E+05,5.88E+08,153.6,3080,0.2,0
1.03E+06,6.21E+08,153.6,3056,0.2,0
1.05E+06,6.77E+08,153.6,2978,0.2,0
1.07E+06,6.94E+08,153.6,2933,0.2,0
1.05E+06,6.99E+08,153.6,2954,0.2,0
1.03E+06,6.99E+08,153.6,2946,0.2,0
1.00E+06,7.21E+08,153.6,2999,0.2,0
9.97E+05,6.63E+08,153.6,2933,0.2,0
1.01E+06,6.44E+08,153.6,3009,0.2,0
1.04E+06,6.89E+08,153.6,2898,0.2,0
9.77E+05,6.57E+08,153.6,2921,0.2,0
9.60E+05,5.91E+08,153.6,2980,0.2,0
9.76E+05,5.96E+08,153.6,2914,0.2,0
1.00E+06,6.01E+08,153.6,2955,0.2,0
1.02E+06,6.42E+08,153.6,2961,0.2,0
1.00E+06,6.32E+08,153.6,2998,0.2,0
9.73E+05,6.31E+08,153.6,3002,0.2,0
1.02E+06,6.67E+08,153.6,2939,0.2,0
1.00E+06,6.81E+08,153.6,2926,0.2,0
9.97E+05,6.58E+08,153.6,3067,0.2,0
1.03E+06,6.76E+08,153.6,3094,0.2,0
1.06E+06,6.95E+08,153.6,3061,0.2,0
1.08E+06,6.97E+08,153.6,3034,0.2,0
1.07E+06,6.46E+08,153.6,2901,0.2,0
1.04E+06,6.41E+08,153.6,2994,0.2,0
9.69E+05,6.52E+08,153.6,3071,0.2,0
1.02E+06,6.75E+08,153.6,3015,0.2,0
1.04E+06,6.59E+08,153.6,3116,0.2,0
1.05E+06,6.78E+08,153.6,3012,0.2,0
1.03E+06,6.36E+08,153.6,2974,0.2,0
1.02E+06,6.42E+08,153.6,3022,0.2,0
1.03E+06,6.73E+08,153.6,2991,0.2,0
1.04E+06,6.50E+08,153.6,2884,0.2,0
1.01E+06,6.57E+08,153.6,2837,0.2,0
9.91E+05,6.55E+08,153.6,2909,0.2,0
9.77E+05,6.29E+08,153.6,2916,0.2,0
9.48E+05,6.05E+08,153.6,2977,0.2,0
9.74E+05,5.95E+08,153.6,3011,0.2,0
1.01E+06,6.25E+08,153.6,3000,0.2,0
1.02E+06,6.65E+08,153.6,2966,0.2,0
1.04E+06,6.77E+08,153.6,2923,0.2,0
1.01E+06,6.48E+08,153.6,3007,0.2,0
1.02E+06,7.02E+08,153.6,3050,0.2,0
1.02E+06,6.97E+08,153.6,2975,0.2,0
9.98E+05,6.39E+08,153.6,3017,0.2,0
1.02E+06,6.08E+08,153.6,3012,0.2,0
1.02E+06,5.97E+08,153.6,3065,0.2,0
1.03E+06,6.63E+08,153.6,2965,0.2,0
1.03E+06,6.49E+08,153.6,3047,0.2,0
1.01E+06,6.64E+08,153.6,2927,0.2,0
1.01E+06,6.34E+08,153.6,3006,0.2,0
1.00E+06,6.03E+08,153.6,2948,0.2,0
9.86E+05,6.23E+08,153.6,2952,0.2,0
9.97E+05,5.91E+08,153.6,3082,0.2,0
1.04E+06,6.51E+08,153.6,3088,0.2,0
1.03E+06,6.66E+08,153.6,2933,0.2,0
1.01E+06,6.98E+08,153.6,2903,0.2,0
1.00E+06,7.18E+08,153.6,2944,0.2,0
1.01E+06,6.67E+08,153.6,2911,0.2,0
9.94E+05,6.66E+08,153.6,2910,0.2,0
9.90E+05,6.39E+08,153.6,2953,0.2,0
9.98E+05,6.42E+08,153.6,3010,0.2,0
9.85E+05,6.59E+08,153.6,2907,0.2,0
9.77E+05,6.19E+08,153.6,2996,0.2,0
1.02E+06,6.79E+08,153.6,2977,0.2,0
1.04E+06,6.77E+08,153.6,2897,0.2,0
1.03E+06,6.70E+08,153.6,2877,0.2,0
9.95E+05,6.74E+08,153.6,2924,0.2,0
1.01E+06,6.48E+08,153.6,3015,0.2,0
1.02E+06,6.24E+08,153.6,3042,0.2,0
1.02E+06,6.35E+08,153.6,3047,0.2,0
1.01E+06,6.25E+08,153.6,3104,0.2,0
1.06E+06,6.52E+08,153.6,3097,0.2,0
1.07E+06,7.25E+08,153.6,3079,0.2,0
1.08E+06,6.83E+08,153.6,3003,0.2,0
1.04E+06,7.06E+08,153.6,3019,0.2,0
1.02E+06,7.09E+08,153.6,3002,0.2,0
1.03E+06,6.93E+08,153.6,2997,0.2,0
1.01E+06,6.85E+08,153.6,3013,0.2,0
1.03E+06,6.95E+08,153.6,2786,0.2,0
9.04E+05,5.56E+08,153.6,2656,0.2,0
8.24E+05,5.32E+08,153.6,2611,0.2,0
7.82E+05,4.63E+08,153.6,2614,0.2,0
7.87E+05,4.51E+08,153.6,2617,0.2,0
7.99E+05,4.13E+08,153.6,2663,0.2,0
8.16E+05,4.48E+08,153.6,2480,0.2,0
7.79E+05,4.58E+08,153.6,2467,0.2,0
7.00E+05,4.35E+08,153.6,2508,0.2,0
6.86E+05,3.73E+08,153.6,2530,0.2,0
6.95E+05,3.67E+08,153.6,2480,0.2,0
7.31E+05,3.56E+08,153.6,2476,0.2,0
7.45E+05,3.94E+08,153.6,2480,0.2,0
7.20E+05,4.08E+08,153.6,2528,0.2,0
7.42E+05,4.11E+08,153.6,2538,0.2,0
7.32E+05,4.11E+08,153.6,2497,0.2,0
7.30E+05,4.25E+08,153.6,2483,0.2,0
7.26E+05,4.19E+08,153.6,2529,0.2,0
7.36E+05,4.28E+08,153.6,2531,0.2,0
7.43E+05,4.02E+08,153.6,2507,0.2,0
7.39E+05,3.97E+08,153.6,2585,0.2,0
7.56E+05,4.03E+08,153.6,2531,0.2,0
7.51E+05,3.89E+08,153.6,2523,0.2,0
7.19E+05,3.74E+08,153.6,2495,0.2,0
7.04E+05,3.72E+08,153.6,2494,0.2,0
7.36E+05,4.07E+08,153.6,2500,0.2,0
7.24E+05,4.18E+08,153.6,2426,0.2,0
6.97E+05,3.75E+08,153.6,2456,0.2,0
7.11E+05,3.96E+08,153.6,2529,0.2,0
7.03E+05,3.75E+08,153.6,2463,0.2,0
7.41E+05,3.95E+08,153.6,2475,0.2,0
7.49E+05,4.03E+08,153.6,2486,0.2,0
7.31E+05,3.92E+08,153.6,2483,0.2,0
7.07E+05,3.93E+08,153.6,2481,0.2,0
7.07E+05,3.79E+08,153.6,2543,0.2,0
7.39E+05,3.76E+08,153.6,2574,0.2,0
7.39E+05,3.88E+08,153.6,2537,0.2,0
7.47E+05,4.08E+08,153.6,2567,0.2,0
7.53E+05,4.29E+08,153.6,2567,0.2,0
7.54E+05,4.63E+08,153.6,2546,0.2,0
7.42E+05,4.35E+08,153.6,2547,0.2,0
7.29E+05,4.03E+08,153.6,2423,0.2,0
6.92E+05,3.67E+08,153.6,2483,0.2,0
6.80E+05,3.46E+08,153.6,2454,0.2,0
6.96E+05,3.66E+08,153.6,2537,0.2,0
7.32E+05,4.07E+08,153.6,2553,0.2,0
7.46E+05,4.23E+08,153.6,2586,0.2,0
7.46E+05,3.95E+08,153.6,2513,0.2,0
7.39E+05,4.19E+08,153.6,2516,0.2,0
7.32E+05,4.06E+08,153.6,2471,0.2,0
7.12E+05,3.81E+08,153.6,2551,0.2,0
7.21E+05,4.21E+08,153.6,2479,0.2,0
7.13E+05,3.71E+08,153.6,2482,0.2,0
7.33E+05,4.16E+08,153.6,2503,0.2,0
