SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Epoch
1.12E+06,3.87E+08,238.67,2109,0.2,0,1
1.29E+06,3.39E+08,238.67,2534,0.2,0,1
1.61E+06,3.58E+08,238.67,2804,0.2,0,1
2.01E+06,4.19E+08,238.67,3008,0.2,0,1
2.33E+06,5.23E+08,238.67,3095,0.2,0,1
2.69E+06,6.24E+08,238.67,3197,0.2,0,1
2.90E+06,7.16E+08,238.67,3214,0.2,0,1
3.00E+06,7.36E+08,238.67,3202,0.2,0,1
3.13E+06,7.87E+08,238.67,3261,0.2,0,1
3.13E+06,8.18E+08,238.67,3313,0.2,0,1
3.15E+06,8.76E+08,238.67,3249,0.2,0,1
3.20E+06,8.96E+08,238.67,3226,0.2,0,1
3.29E+06,9.16E+08,238.67,3211,0.2,0,1
3.28E+06,8.95E+08,238.67,3246,0.2,0,1
3.30E+06,8.65E+08,238.67,3229,0.2,0,1
3.29E+06,8.78E+08,238.67,3249,0.2,0,1
3.31E+06,8.70E+08,238.67,3281,0.2,0,1
3.37E+06,9.07E+08,238.67,3258,0.2,0,1
3.35E+06,9.04E+08,238.67,3203,0.2,0,1
3.38E+06,9.15E+08,238.67,3249,0.2,0,1
3.32E+06,8.88E+08,238.67,3213,0.2,0,1
3.32E+06,8.92E+08,238.67,3224,0.2,0,1
3.26E+06,8.31E+08,238.67,3325,0.2,0,1
3.30E+06,8.06E+08,238.67,3260,0.2,0,1
3.41E+06,8.08E+08,238.67,3241,0.2,0,1
3.41E+06,8.44E+08,238.67,3173,0.2,0,1
3.37E+06,8.76E+08,238.67,3248,0.2,0,1
3.39E+06,8.52E+08,238.67,3228,0.2,0,1
3.28E+06,8.46E+08,238.67,3162,0.2,0,1
3.27E+06,7.99E+08,238.67,3262,0.2,0,1
3.36E+06,8.44E+08,238.67,3238,0.2,0,1
3.26E+06,8.17E+08,238.67,3198,0.2,0,1
3.29E+06,8.07E+08,238.67,3213,0.2,0,1
3.34E+06,8.65E+08,238.67,3189,0.2,0,1
3.31E+06,8.51E+08,238.67,3167,0.2,0,1
3.32E+06,8.95E+08,238.67,3256,0.2,0,1
3.46E+06,9.13E+08,238.67,3279,0.2,0,1
3.50E+06,9.18E+08,238.67,3200,0.2,0,1
3.34E+06,8.78E+08,238.67,3205,0.2,0,1
3.35E+06,8.85E+08,238.67,3192,0.2,0,1
3.34E+06,8.74E+08,238.67,3268,0.2,0,1
3.37E+06,9.08E+08,238.67,3213,0.2,0,1
3.42E+06,8.99E+08,238.67,3199,0.2,0,1
3.42E+06,8.99E+08,238.67,3240,0.2,0,1
3.41E+06,8.69E+08,238.67,3252,0.2,0,1
3.39E+06,9.35E+08,238.67,3243,0.2,0,1
3.43E+06,9.11E+08,238.67,3245,0.2,0,1
3.42E+06,9.06E+08,238.67,3239,0.2,0,1
3.38E+06,8.96E+08,238.67,3194,0.2,0,1
3.37E+06,9.01E+08,238.67,3249,0.2,0,1
3.37E+06,9.32E+08,238.67,3333,0.2,0,1
3.48E+06,9.13E+08,238.67,3318,0.2,0,1
3.50E+06,9.20E+08,238.67,3391,0.2,0,1
3.50E+06,9.27E+08,238.67,3345,0.2,0,1
3.61E+06,9.61E+08,238.67,3253,0.2,0,1
3.58E+06,9.65E+08,238.67,3254,0.2,0,1
3.56E+06,9.90E+08,238.67,3181,0.2,0,1
3.37E+06,9.44E+08,238.67,3244,0.2,0,1
3.35E+06,9.21E+08,238.67,3252,0.2,0,1
3.36E+06,8.94E+08,238.67,3198,0.2,0,1
3.36E+06,8.74E+08,238.67,3182,0.2,0,1
3.33E+06,8.62E+08,238.67,3190,0.2,0,1
3.42E+06,8.78E+08,238.67,3230,0.2,0,1
3.44E+06,8.67E+08,238.67,3258,0.2,0,1
3.54E+06,9.38E+08,238.67,3222,0.2,0,1
3.37E+06,9.12E+08,238.67,3276,0.2,0,1
3.41E+06,9.36E+08,238.67,3270,0.2,0,1
3.44E+06,9.22E+08,238.67,3249,0.2,0,1
3.50E+06,9.39E+08,238.67,3224,0.2,0,1
3.40E+06,8.82E+08,238.67,3219,0.2,0,1
3.37E+06,8.82E+08,238.67,3218,0.2,0,1
3.42E+06,8.99E+08,238.67,3204,0.2,0,1
3.44E+06,9.17E+08,238.67,3309,0.2,0,1
3.45E+06,9.05E+08,238.67,3317,0.2,0,1
3.43E+06,9.34E+08,238.67,3277,0.2,0,1
3.43E+06,9.49E+08,238.67,3219,0.2,0,1
3.41E+06,8.96E+08,238.67,3204,0.2,0,1
3.34E+06,8.83E+08,238.67,3245,0.2,0,1
3.39E+06,9.31E+08,238.67,3233,0.2,0,1
3.42E+06,9.47E+08,238.67,3317,0.2,0,1
3.51E+06,9.71E+08,238.67,3292,0.2,0,1
3.55E+06,9.25E+08,238.67,3274,0.2,0,1
3.56E+06,9.13E+08,238.67,3197,0.2,0,1
3.51E+06,9.03E+08,238.67,3245,0.2,0,1
3.50E+06,9.02E+08,238.67,3282,0.2,0,1
3.45E+06,9.03E+08,238.67,3225,0.2,0,1
3.37E+06,9.28E+08,238.67,3234,0.2,0,1
3.31E+06,8.82E+08,238.67,3178,0.2,0,1
3.31E+06,9.08E+08,238.67,3172,0.2,0,1
3.35E+06,8.81E+08,238.67,3195,0.2,0,1
3.39E+06,8.19E+08,238.67,3034,0.2,0,1
2.96E+06,6.87E+08,238.67,3011,0.2,0,1
2.78E+06,6.32E+08,238.67,2977,0.2,0,1
2.66E+06,5.86E+08,238.67,2905,0.2,0,1
2.61E+06,5.65E+08,238.67,2857,0.2,0,1
2.59E+06,5.52E+08,238.67,2808,0.2,0,1
2.58E+06,5.57E+08,238.67,2835,0.2,0,1
2.54E+06,5.58E+08,238.67,2911,0.2,0,1
2.60E+06,5.72E+08,238.67,2858,0.2,0,1
2.48E+06,5.32E+08,238.67,2807,0.2,0,1
2.39E+06,5.28E+08,238.67,2889,0.2,0,1
2.44E+06,5.34E+08,238.67,2902,0.2,0,1
2.56E+06,5.56E+08,238.67,2931,0.2,0,1
2.61E+06,5.96E+08,238.67,2974,0.2,0,1
2.53E+06,5.39E+08,238.67,2917,0.2,0,1
2.50E+06,5.38E+08,238.67,2848,0.2,0,1
2.48E+06,5.36E+08,238.67,2815,0.2,0,1
2.43E+06,5.35E+08,238.67,2763,0.2,0,1
2.38E+06,5.39E+08,238.67,2789,0.2,0,1
2.39E+06,5.40E+08,238.67,2816,0.2,0,1
2.36E+06,5.45E+08,238.67,2847,0.2,0,1
2.45E+06,5.90E+08,238.67,2851,0.2,0,1
2.45E+06,6.16E+08,238.67,2943,0.2,0,1
2.44E+06,6.08E+08,238.67,2926,0.2,0,1
2.41E+06,5.88E+08,238.67,2934,0.2,0,1
2.41E+06,5.84E+08,238.67,2938,0.2,0,1
2.47E+06,5.65E+08,238.67,2899,0.2,0,1
2.45E+06,5.50E+08,238.67,2812,0.2,0,1
2.39E+06,5.20E+08,238.67,2783,0.2,0,1
2.38E+06,5.27E+08,238.67,2796,0.2,0,1
2.33E+06,4.98E+08,238.67,2739,0.2,0,1
2.28E+06,5.02E+08,238.67,2733,0.2,0,1
2.26E+06,4.97E+08,238.67,2819,0.2,0,1
2.31E+06,5.13E+08,238.67,2798,0.2,0,1
2.30E+06,5.05E+08,238.67,2833,0.2,0,1
2.32E+06,4.83E+08,238.67,2839,0.2,0,1
2.43E+06,4.89E+08,238.67,2887,0.2,0,1
2.47E+06,4.96E+08,238.67,2917,0.2,0,1
2.46E+06,4.87E+08,238.67,2956,0.2,0,1
2.47E+06,5.10E+08,238.67,2926,0.2,0,1
2.53E+06,5.39E+08,238.67,2875,0.2,0,1
2.42E+06,5.45E+08,238.67,2846,0.2,0,1
2.39E+06,5.19E+08,238.67,2778,0.2,0,1
2.33E+06,4.88E+08,238.67,2704,0.2,0,1
2.24E+06,4.59E+08,238.67,2802,0.2,0,1
2.26E+06,4.55E+08,238.67,2895,0.2,0,1
2.37E+06,5.04E+08,238.67,2840,0.2,0,1
2.43E+06,5.37E+08,238.67,2816,0.2,0,1
2.42E+06,5.69E+08,238.67,2803,0.2,0,1
2.36E+06,5.34E+08,238.67,2816,0.2,0,1
2.33E+06,5.66E+08,238.67,2859,0.2,0,1
2.27E+06,5.28E+08,238.67,2817,0.2,0,1
2.37E+06,5.03E+08,238.67,2865,0.2,0,1
2.34E+06,4.97E+08,238.67,2861,0.2,0,1
2.33E+06,4.73E+08,238.67,2820,0.2,0,1
2.41E+06,5.17E+08,238.67,2811,0.2,0,1
2.38E+06,5.35E+08,238.67,2826,0.2,0,1
2.42E+06,5.70E+08,238.67,2890,0.2,0,1
2.39E+06,5.48E+08,238.67,2917,0.2,0,1
2.35E+06,5.42E+08,238.67,2911,0.2,0,1
2.37E+06,5.48E+08,238.67,2901,0.2,0,1
2.47E+06,5.93E+08,238.67,2896,0.2,0,1
2.36E+06,6.08E+08,238.67,2918,0.2,0,1
2.39E+06,5.80E+08,238.67,2857,0.2,0,1
2.37E+06,5.19E+08,238.67,2930,0.2,0,1
2.41E+06,5.43E+08,238.67,2856,0.2,0,1
2.37E+06,5.17E+08,238.67,2803,0.2,0,1
2.38E+06,4.98E+08,238.67,2857,0.2,0,1
2.43E+06,5.21E+08,238.67,2906,0.2,0,1
2.40E+06,5.16E+08,238.67,2938,0.2,0,1
2.51E+06,5.50E+08,238.67,2937,0.2,0,1
2.55E+06,5.49E+08,238.67,2900,0.2,0,1
2.52E+06,5.45E+08,238.67,2909,0.2,0,1
2.48E+06,5.42E+08,238.67,2839,0.2,0,1
2.39E+06,5.13E+08,238.67,2795,0.2,0,1
2.38E+06,5.26E+08,238.67,2766,0.2,0,1
