SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Epoch
9830.6,3.93E+06,73.824,1178,0.2,0,1
15968,3.37E+06,73.824,1331,0.2,0,1
23062,5.15E+06,73.824,1481,0.2,0,1
28679,6.52E+06,73.824,1653,0.2,0,1
29933,7.44E+06,73.824,1705,0.2,0,1
31578,7.89E+06,73.824,1681,0.2,0,1
33790,8.86E+06,73.824,1753,0.2,0,1
32722,8.85E+06,73.824,1753,0.2,0,1
33713,8.32E+06,73.824,1740,0.2,0,1
34054,9.33E+06,73.824,1853,0.2,0,1
35395,9.74E+06,73.824,1841,0.2,0,1
37448,1.02E+07,73.824,1736,0.2,0,1
36826,1.01E+07,73.824,1724,0.2,0,1
33872,9.44E+06,73.824,1767,0.2,0,1
34323,8.44E+06,73.824,1700,0.2,0,1
34363,9.21E+06,73.824,1757,0.2,0,1
33916,9.75E+06,73.824,1789,0.2,0,1
33947,9.62E+06,73.824,1777,0.2,0,1
36090,1.00E+07,73.824,1702,0.2,0,1
34131,9.62E+06,73.824,1741,0.2,0,1
33515,8.84E+06,73.824,1770,0.2,0,1
34237,9.55E+06,73.824,1788,0.2,0,1
36119,9.08E+06,73.824,1743,0.2,0,1
33758,9.59E+06,73.824,1787,0.2,0,1
34727,9.35E+06,73.824,1827,0.2,0,1
36787,9.86E+06,73.824,1793,0.2,0,1
37068,9.69E+06,73.824,1831,0.2,0,1
35119,9.83E+06,73.824,1779,0.2,0,1
36168,1.03E+07,73.824,1773,0.2,0,1
36837,1.06E+07,73.824,1699,0.2,0,1
34029,1.07E+07,73.824,1720,0.2,0,1
33487,9.97E+06,73.824,1775,0.2,0,1
33254,9.19E+06,73.824,1810,0.2,0,1
37476,9.43E+06,73.824,1797,0.2,0,1
34988,1.10E+07,73.824,1719,0.2,0,1
33847,1.05E+07,73.824,1662,0.2,0,1
34338,8.97E+06,73.824,1797,0.2,0,1
35307,9.44E+06,73.824,1802,0.2,0,1
35254,9.63E+06,73.824,1796,0.2,0,1
33800,9.49E+06,73.824,1821,0.2,0,1
35861,1.00E+07,73.824,1854,0.2,0,1
37124,1.09E+07,73.824,1757,0.2,0,1
35814,1.05E+07,73.824,1775,0.2,0,1
36584,1.04E+07,73.824,1717,0.2,0,1
34721,9.61E+06,73.824,1672,0.2,0,1
32533,9.39E+06,73.824,1746,0.2,0,1
33551,8.00E+06,73.824,1712,0.2,0,1
34645,8.79E+06,73.824,1734,0.2,0,1
33907,9.23E+06,73.824,1786,0.2,0,1
36327,9.71E+06,73.824,1786,0.2,0,1
34696,9.68E+06,73.824,1770,0.2,0,1
34002,8.98E+06,73.824,1761,0.2,0,1
35642,9.20E+06,73.824,1780,0.2,0,1
36422,1.01E+07,73.824,1709,0.2,0,1
34647,1.03E+07,73.824,1668,0.2,0,1
33651,9.25E+06,73.824,1707,0.2,0,1
31760,8.42E+06,73.824,1706,0.2,0,1
34199,9.17E+06,73.824,1753,0.2,0,1
33629,9.52E+06,73.824,1809,0.2,0,1
34566,8.68E+06,73.824,1754,0.2,0,1
35027,9.25E+06,73.824,1780,0.2,0,1
35077,9.81E+06,73.824,1807,0.2,0,1
34537,8.91E+06,73.824,1762,0.2,0,1
35673,8.81E+06,73.824,1763,0.2,0,1
36527,9.64E+06,73.824,1780,0.2,0,1
35861,9.94E+06,73.824,1692,0.2,0,1
35123,9.76E+06,73.824,1726,0.2,0,1
33783,9.46E+06,73.824,1801,0.2,0,1
34218,9.39E+06,73.824,1827,0.2,0,1
36271,9.58E+06,73.824,1830,0.2,0,1
35637,1.03E+07,73.824,1805,0.2,0,1
36229,9.77E+06,73.824,1803,0.2,0,1
35865,9.88E+06,73.824,1768,0.2,0,1
34851,9.43E+06,73.824,1770,0.2,0,1
35221,9.34E+06,73.824,1796,0.2,0,1
35122,9.96E+06,73.824,1850,0.2,0,1
35361,1.01E+07,73.824,1736,0.2,0,1
35559,9.52E+06,73.824,1748,0.2,0,1
34160,1.03E+07,73.824,1770,0.2,0,1
36346,1.01E+07,73.824,1770,0.2,0,1
35156,9.55E+06,73.824,1754,0.2,0,1
34595,9.46E+06,73.824,1809,0.2,0,1
36196,9.52E+06,73.824,1861,0.2,0,1
36787,1.03E+07,73.824,1754,0.2,0,1
36746,1.03E+07,73.824,1696,0.2,0,1
34063,9.89E+06,73.824,1808,0.2,0,1
33756,9.50E+06,73.824,1773,0.2,0,1
35873,9.45E+06,73.824,1794,0.2,0,1
36250,9.55E+06,73.824,1806,0.2,0,1
34951,9.61E+06,73.824,1770,0.2,0,1
34728,9.45E+06,73.824,1805,0.2,0,1
35421,1.01E+07,73.824,1684,0.2,0,1
35445,9.49E+06,73.824,1695,0.2,0,1
33123,9.80E+06,73.824,1749,0.2,0,1
33437,9.61E+06,73.824,1820,0.2,0,1
35752,8.98E+06,73.824,1690,0.2,0,1
33591,8.46E+06,73.824,1551,0.2,0,1
28815,7.66E+06,73.824,1459,0.2,0,1
27139,7.25E+06,73.824,1400,0.2,0,1
25231,6.57E+06,73.824,1452,0.2,0,1
26658,6.26E+06,73.824,1452,0.2,0,1
26956,6.35E+06,73.824,1451,0.2,0,1
25784,6.10E+06,73.824,1431,0.2,0,1
26557,6.00E+06,73.824,1454,0.2,0,1
25617,5.98E+06,73.824,1439,0.2,0,1
24101,5.70E+06,73.824,1439,0.2,0,1
26574,6.03E+06,73.824,1417,0.2,0,1
25073,5.91E+06,73.824,1451,0.2,0,1
24291,5.85E+06,73.824,1423,0.2,0,1
24823,6.46E+06,73.824,1468,0.2,0,1
26625,6.57E+06,73.824,1476,0.2,0,1
25654,6.37E+06,73.824,1472,0.2,0,1
26448,5.97E+06,73.824,1447,0.2,0,1
25663,6.10E+06,73.824,1480,0.2,0,1
25754,5.90E+06,73.824,1418,0.2,0,1
25958,5.55E+06,73.824,1414,0.2,0,1
24304,5.67E+06,73.824,1375,0.2,0,1
24680,5.55E+06,73.824,1390,0.2,0,1
24956,6.27E+06,73.824,1454,0.2,0,1
26449,6.53E+06,73.824,1476,0.2,0,1
25204,6.26E+06,73.824,1488,0.2,0,1
26447,5.90E+06,73.824,1434,0.2,0,1
26651,6.63E+06,73.824,1525,0.2,0,1
26105,6.54E+06,73.824,1493,0.2,0,1
26720,6.34E+06,73.824,1490,0.2,0,1
26052,6.50E+06,73.824,1470,0.2,0,1
25667,6.27E+06,73.824,1469,0.2,0,1
25504,6.19E+06,73.824,1424,0.2,0,1
26021,6.18E+06,73.824,1390,0.2,0,1
25097,6.00E+06,73.824,1418,0.2,0,1
24257,5.95E+06,73.824,1429,0.2,0,1
25909,6.76E+06,73.824,1456,0.2,0,1
24722,5.98E+06,73.824,1487,0.2,0,1
26633,6.56E+06,73.824,1493,0.2,0,1
26414,6.45E+06,73.824,1422,0.2,0,1
23695,6.02E+06,73.824,1428,0.2,0,1
26630,6.19E+06,73.824,1452,0.2,0,1
26917,6.21E+06,73.824,1520,0.2,0,1
25583,6.91E+06,73.824,1409,0.2,0,1
25282,6.27E+06,73.824,1431,0.2,0,1
24405,5.82E+06,73.824,1421,0.2,0,1
26078,6.01E+06,73.824,1448,0.2,0,1
25749,6.22E+06,73.824,1499,0.2,0,1
26190,6.11E+06,73.824,1489,0.2,0,1
26221,5.96E+06,73.824,1422,0.2,0,1
26237,6.14E+06,73.824,1388,0.2,0,1
25506,5.84E+06,73.824,1394,0.2,0,1
24761,5.52E+06,73.824,1366,0.2,0,1
24473,5.64E+06,73.824,1375,0.2,0,1
24880,5.91E+06,73.824,1427,0.2,0,1
24390,6.10E+06,73.824,1381,0.2,0,1
24592,6.23E+06,73.824,1440,0.2,0,1
24892,5.88E+06,73.824,1491,0.2,0,1
26369,5.83E+06,73.824,1400,0.2,0,1
26262,5.41E+06,73.824,1416,0.2,0,1
25667,5.95E+06,73.824,1446,0.2,0,1
25370,5.65E+06,73.824,1416,0.2,0,1
25872,5.91E+06,73.824,1383,0.2,0,1
24716,5.87E+06,73.824,1374,0.2,0,1
24188,6.11E+06,73.824,1399,0.2,0,1
23957,5.60E+06,73.824,1471,0.2,0,1
26643,5.40E+06,73.824,1399,0.2,0,1
25262,6.09E+06,73.824,1408,0.2,0,1
23602,6.07E+06,73.824,1427,0.2,0,1
