SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Epoch
1.59E+07,1.54E+08,480.67,2630,0.2,0,1
1.83E+07,1.28E+08,480.67,2849,0.2,0,1
2.04E+07,1.37E+08,480.67,2997,0.2,0,1
2.28E+07,1.47E+08,480.67,3159,0.2,0,1
2.55E+07,1.64E+08,480.67,3329,0.2,0,1
2.81E+07,1.76E+08,480.67,3358,0.2,0,1
3.03E+07,1.89E+08,480.67,3214,0.2,0,1
3.06E+07,2.04E+08,480.67,3196,0.2,0,1
3.10E+07,2.07E+08,480.67,3157,0.2,0,1
3.10E+07,2.07E+08,480.67,3208,0.2,0,1
3.18E+07,2.08E+08,480.67,3195,0.2,0,1
3.15E+07,2.06E+08,480.67,3182,0.2,0,1
3.11E+07,2.08E+08,480.67,3111,0.2,0,1
3.03E+07,2.06E+08,480.67,3048,0.2,0,1
3.02E+07,2.01E+08,480.67,3048,0.2,0,1
3.04E+07,2.05E+08,480.67,3084,0.2,0,1
3.09E+07,2.15E+08,480.67,3060,0.2,0,1
3.09E+07,2.16E+08,480.67,3069,0.2,0,1
3.13E+07,2.12E+08,480.67,3089,0.2,0,1
3.07E+07,2.11E+08,480.67,3080,0.2,0,1
3.09E+07,2.12E+08,480.67,3073,0.2,0,1
3.09E+07,2.10E+08,480.67,3037,0.2,0,1
3.11E+07,2.13E+08,480.67,3088,0.2,0,1
3.15E+07,2.22E+08,480.67,3053,0.2,0,1
3.09E+07,2.23E+08,480.67,3061,0.2,0,1
3.12E+07,2.26E+08,480.67,3074,0.2,0,1
3.16E+07,2.24E+08,480.67,3050,0.2,0,1
3.10E+07,2.18E+08,480.67,3070,0.2,0,1
3.11E+07,2.22E+08,480.67,3036,0.2,0,1
3.09E+07,2.11E+08,480.67,2998,0.2,0,1
3.08E+07,2.16E+08,480.67,3062,0.2,0,1
3.01E+07,2.12E+08,480.67,3046,0.2,0,1
2.99E+07,2.04E+08,480.67,2998,0.2,0,1
2.99E+07,1.97E+08,480.67,3128,0.2,0,1
3.02E+07,1.99E+08,480.67,3218,0.2,0,1
3.10E+07,2.05E+08,480.67,3187,0.2,0,1
3.15E+07,2.07E+08,480.67,3113,0.2,0,1
3.22E+07,2.12E+08,480.67,3123,0.2,0,1
3.19E+07,2.11E+08,480.67,3136,0.2,0,1
3.21E+07,2.21E+08,480.67,3143,0.2,0,1
3.22E+07,2.21E+08,480.67,3154,0.2,0,1
3.22E+07,2.20E+08,480.67,3134,0.2,0,1
3.17E+07,2.16E+08,480.67,3194,0.2,0,1
3.17E+07,2.15E+08,480.67,3196,0.2,0,1
3.17E+07,2.11E+08,480.67,3163,0.2,0,1
3.16E+07,2.07E+08,480.67,3119,0.2,0,1
3.21E+07,2.11E+08,480.67,3070,0.2,0,1
3.15E+07,2.17E+08,480.67,3105,0.2,0,1
3.14E+07,2.20E+08,480.67,3196,0.2,0,1
3.20E+07,2.25E+08,480.67,3099,0.2,0,1
3.20E+07,2.18E+08,480.67,3122,0.2,0,1
3.14E+07,2.16E+08,480.67,3094,0.2,0,1
3.15E+07,2.18E+08,480.67,3032,0.2,0,1
3.09E+07,2.20E+08,480.67,3060,0.2,0,1
3.13E+07,2.20E+08,480.67,3088,0.2,0,1
3.11E+07,2.09E+08,480.67,3151,0.2,0,1
3.13E+07,2.14E+08,480.67,3096,0.2,0,1
3.12E+07,2.05E+08,480.67,3049,0.2,0,1
3.05E+07,2.07E+08,480.67,3026,0.2,0,1
3.00E+07,2.05E+08,480.67,3025,0.2,0,1
3.01E+07,2.04E+08,480.67,2999,0.2,0,1
3.07E+07,2.06E+08,480.67,3041,0.2,0,1
3.04E+07,2.09E+08,480.67,3099,0.2,0,1
3.09E+07,2.08E+08,480.67,3058,0.2,0,1
3.06E+07,2.07E+08,480.67,2970,0.2,0,1
3.02E+07,2.04E+08,480.67,2995,0.2,0,1
3.05E+07,2.08E+08,480.67,2985,0.2,0,1
3.00E+07,2.04E+08,480.67,2997,0.2,0,1
2.92E+07,2.04E+08,480.67,3033,0.2,0,1
2.95E+07,2.04E+08,480.67,3022,0.2,0,1
2.95E+07,2.07E+08,480.67,3036,0.2,0,1
2.99E+07,2.07E+08,480.67,3078,0.2,0,1
3.05E+07,2.10E+08,480.67,3073,0.2,0,1
3.10E+07,2.17E+08,480.67,3095,0.2,0,1
3.12E+07,2.14E+08,480.67,3086,0.2,0,1
3.15E+07,2.17E+08,480.67,3131,0.2,0,1
3.14E+07,2.17E+08,480.67,3111,0.2,0,1
3.11E+07,2.07E+08,480.67,3060,0.2,0,1
3.08E+07,1.94E+08,480.67,2979,0.2,0,1
3.05E+07,1.93E+08,480.67,3157,0.2,0,1
3.11E+07,2.06E+08,480.67,3145,0.2,0,1
3.09E+07,2.06E+08,480.67,3152,0.2,0,1
