SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Epoch
2.22E+06,9.69E+07,289.5,1992,0.2,0,1
2.70E+06,9.87E+07,289.5,2260,0.2,0,1
3.23E+06,1.11E+08,289.5,2527,0.2,0,1
3.81E+06,1.28E+08,289.5,2805,0.2,0,1
4.48E+06,1.60E+08,289.5,3223,0.2,0,1
4.90E+06,1.83E+08,289.5,3485,0.2,0,1
5.71E+06,1.83E+08,289.5,3684,0.2,0,1
6.02E+06,2.10E+08,289.5,3910,0.2,0,1
6.60E+06,2.30E+08,289.5,4119,0.2,0,1
7.01E+06,2.50E+08,289.5,4333,0.2,0,1
7.50E+06,2.64E+08,289.5,4563,0.2,0,1
7.77E+06,2.88E+08,289.5,4757,0.2,0,1
8.18E+06,2.92E+08,289.5,4878,0.2,0,1
8.59E+06,3.15E+08,289.5,5043,0.2,0,1
8.93E+06,3.34E+08,289.5,5215,0.2,0,1
9.23E+06,3.45E+08,289.5,5367,0.2,0,1
9.57E+06,3.76E+08,289.5,5538,0.2,0,1
1.02E+07,3.92E+08,289.5,5702,0.2,0,1
1.04E+07,4.30E+08,289.5,5550,0.2,0,1
1.06E+07,4.42E+08,289.5,5509,0.2,0,1
1.05E+07,4.39E+08,289.5,5500,0.2,0,1
1.07E+07,4.36E+08,289.5,5458,0.2,0,1
1.04E+07,4.21E+08,289.5,5542,0.2,0,1
1.06E+07,4.28E+08,289.5,5716,0.2,0,1
1.08E+07,4.27E+08,289.5,5782,0.2,0,1
1.09E+07,4.21E+08,289.5,5819,0.2,0,1
1.09E+07,4.34E+08,289.5,5908,0.2,0,1
1.14E+07,4.37E+08,289.5,6088,0.2,0,1
1.16E+07,4.62E+08,289.5,5865,0.2,0,1
1.16E+07,4.66E+08,289.5,5802,0.2,0,1
1.16E+07,4.74E+08,289.5,5713,0.2,0,1
1.14E+07,4.54E+08,289.5,5580,0.2,0,1
1.09E+07,4.44E+08,289.5,5707,0.2,0,1
1.08E+07,4.46E+08,289.5,5677,0.2,0,1
1.08E+07,4.40E+08,289.5,5751,0.2,0,1
1.11E+07,4.45E+08,289.5,5861,0.2,0,1
1.10E+07,4.39E+08,289.5,5884,0.2,0,1
1.11E+07,4.20E+08,289.5,5891,0.2,0,1
1.14E+07,4.44E+08,289.5,5894,0.2,0,1
1.16E+07,4.66E+08,289.5,5815,0.2,0,1
1.17E+07,4.74E+08,289.5,5714,0.2,0,1
1.15E+07,4.71E+08,289.5,5716,0.2,0,1
1.13E+07,4.55E+08,289.5,5580,0.2,0,1
1.12E+07,4.51E+08,289.5,5496,0.2,0,1
1.12E+07,4.65E+08,289.5,5501,0.2,0,1
1.06E+07,4.26E+08,289.5,5530,0.2,0,1
1.07E+07,4.13E+08,289.5,5626,0.2,0,1
1.08E+07,4.21E+08,289.5,5808,0.2,0,1
1.12E+07,4.39E+08,289.5,5835,0.2,0,1
