SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Epoch
6.05E+05,4.95E+07,259.67,1651,0.2,0,1
8.68E+05,5.01E+07,259.67,2041,0.2,0,1
1.29E+06,5.94E+07,259.67,2243,0.2,0,1
1.76E+06,8.90E+07,259.67,2543,0.2,0,1
2.10E+06,1.19E+08,259.67,2682,0.2,0,1
2.36E+06,1.48E+08,259.67,2891,0.2,0,1
2.58E+06,1.63E+08,259.67,2990,0.2,0,1
2.79E+06,1.72E+08,259.67,2997,0.2,0,1
2.89E+06,1.97E+08,259.67,3044,0.2,0,1
3.02E+06,2.01E+08,259.67,3074,0.2,0,1
3.13E+06,2.19E+08,259.67,3115,0.2,0,1
3.14E+06,2.12E+08,259.67,3083,0.2,0,1
3.15E+06,1.97E+08,259.67,3054,0.2,0,1
3.10E+06,2.03E+08,259.67,3043,0.2,0,1
3.10E+06,2.00E+08,259.67,3048,0.2,0,1
3.10E+06,2.02E+08,259.67,3067,0.2,0,1
3.14E+06,2.04E+08,259.67,3101,0.2,0,1
3.12E+06,2.12E+08,259.67,3143,0.2,0,1
3.19E+06,2.10E+08,259.67,3224,0.2,0,1
3.28E+06,2.30E+08,259.67,3180,0.2,0,1
3.25E+06,2.28E+08,259.67,3107,0.2,0,1
3.19E+06,2.20E+08,259.67,3073,0.2,0,1
3.24E+06,2.09E+08,259.67,3029,0.2,0,1
3.23E+06,2.03E+08,259.67,3116,0.2,0,1
3.17E+06,2.03E+08,259.67,3130,0.2,0,1
3.16E+06,2.01E+08,259.67,3174,0.2,0,1
3.11E+06,1.98E+08,259.67,3225,0.2,0,1
3.25E+06,2.03E+08,259.67,3197,0.2,0,1
3.34E+06,2.12E+08,259.67,3156,0.2,0,1
3.29E+06,2.30E+08,259.67,3227,0.2,0,1
3.32E+06,2.39E+08,259.67,3217,0.2,0,1
3.33E+06,2.36E+08,259.67,3222,0.2,0,1
3.34E+06,2.33E+08,259.67,3180,0.2,0,1
3.30E+06,2.30E+08,259.67,3125,0.2,0,1
3.23E+06,2.21E+08,259.67,3103,0.2,0,1
3.24E+06,2.11E+08,259.67,3129,0.2,0,1
3.19E+06,2.16E+08,259.67,3099,0.2,0,1
3.20E+06,2.19E+08,259.67,3122,0.2,0,1
3.28E+06,2.18E+08,259.67,3202,0.2,0,1
3.24E+06,2.13E+08,259.67,3240,0.2,0,1
3.30E+06,2.21E+08,259.67,3173,0.2,0,1
3.31E+06,2.15E+08,259.67,3147,0.2,0,1
3.31E+06,2.23E+08,259.67,3061,0.2,0,1
3.23E+06,2.20E+08,259.67,3053,0.2,0,1
3.22E+06,2.18E+08,259.67,3031,0.2,0,1
3.13E+06,2.16E+08,259.67,3087,0.2,0,1
