SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Fdi
10119,4.14E+06,73.824,1185,0.5,0,0.01
15753,3.41E+06,73.824,1349,0.5,0,0.01
23423,5.15E+06,73.824,1498,0.5,0,0.01
29733,7.17E+06,73.824,1632,0.5,0,0.01
30421,8.48E+06,73.824,1683,0.5,0,0.01
33148,9.45E+06,73.824,1694,0.5,0,0.01
32923,9.53E+06,73.824,1772,0.5,0,0.01
34786,1.00E+07,73.824,1791,0.5,0,0.01
34220,9.49E+06,73.824,1780,0.5,0,0.01
36268,8.86E+06,73.824,1811,0.5,0,0.01
36812,9.63E+06,73.824,1828,0.5,0,0.01
36748,1.02E+07,73.824,1743,0.5,0,0.01
36640,1.02E+07,73.824,1706,0.5,0,0.01
35730,1.01E+07,73.824,1629,0.5,0,0.01
32467,9.13E+06,73.824,1715,0.5,0,0.01
33160,9.46E+06,73.824,1762,0.5,0,0.01
33965,1.03E+07,73.824,1697,0.5,0,0.01
35080,1.02E+07,73.824,1699,0.5,0,0.01
35273,9.52E+06,73.824,1685,0.5,0,0.01
31683,9.61E+06,73.824,1683,0.5,0,0.01
31966,8.41E+06,73.824,1691,0.5,0,0.01
33929,9.25E+06,73.824,1796,0.5,0,0.01
35555,1.02E+07,73.824,1711,0.5,0,0.01
33557,1.01E+07,73.824,1777,0.5,0,0.01
35462,9.99E+06,73.824,1736,0.5,0,0.01
33121,9.04E+06,73.824,1776,0.5,0,0.01
35219,9.14E+06,73.824,1806,0.5,0,0.01
35319,9.69E+06,73.824,1789,0.5,0,0.01
35845,1.01E+07,73.824,1718,0.5,0,0.01
35627,1.00E+07,73.824,1647,0.5,0,0.01
31812,9.74E+06,73.824,1599,0.5,0,0.01
30845,8.56E+06,73.824,1673,0.5,0,0.01
31163,8.71E+06,73.824,1683,0.5,0,0.01
32734,9.39E+06,73.824,1739,0.5,0,0.01
32917,8.62E+06,73.824,1745,0.5,0,0.01
34447,8.95E+06,73.824,1706,0.5,0,0.01
33247,8.47E+06,73.824,1691,0.5,0,0.01
33875,9.03E+06,73.824,1722,0.5,0,0.01
33134,9.11E+06,73.824,1799,0.5,0,0.01
34615,9.40E+06,73.824,1767,0.5,0,0.01
35372,9.01E+06,73.824,1735,0.5,0,0.01
34843,8.46E+06,73.824,1732,0.5,0,0.01
34828,9.16E+06,73.824,1737,0.5,0,0.01
33243,9.20E+06,73.824,1734,0.5,0,0.01
34161,9.24E+06,73.824,1791,0.5,0,0.01
35098,9.24E+06,73.824,1808,0.5,0,0.01
35593,1.05E+07,73.824,1729,0.5,0,0.01
35210,9.48E+06,73.824,1782,0.5,0,0.01
34160,1.00E+07,73.824,1848,0.5,0,0.01
35473,1.01E+07,73.824,1746,0.5,0,0.01
37594,1.03E+07,73.824,1723,0.5,0,0.01
35111,1.05E+07,73.824,1684,0.5,0,0.01
32606,9.77E+06,73.824,1784,0.5,0,0.01
33524,9.33E+06,73.824,1755,0.5,0,0.01
35543,1.09E+07,73.824,1645,0.5,0,0.01
34930,9.63E+06,73.824,1730,0.5,0,0.01
32457,9.55E+06,73.824,1679,0.5,0,0.01
31641,7.98E+06,73.824,1678,0.5,0,0.01
35310,8.78E+06,73.824,1718,0.5,0,0.01
33272,9.15E+06,73.824,1798,0.5,0,0.01
36343,9.26E+06,73.824,1832,0.5,0,0.01
35225,9.96E+06,73.824,1828,0.5,0,0.01
36916,9.92E+06,73.824,1800,0.5,0,0.01
36218,1.03E+07,73.824,1717,0.5,0,0.01
