SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Fdi
1.64E+07,1.61E+08,480.67,2722,0.5,0,0.02
1.90E+07,1.30E+08,480.67,2895,0.5,0,0.02
2.15E+07,1.41E+08,480.67,3002,0.5,0,0.02
2.42E+07,1.55E+08,480.67,3214,0.5,0,0.02
2.67E+07,1.64E+08,480.67,3374,0.5,0,0.02
2.97E+07,1.84E+08,480.67,3404,0.5,0,0.02
3.21E+07,1.97E+08,480.67,3306,0.5,0,0.02
3.35E+07,2.15E+08,480.67,3247,0.5,0,0.02
3.37E+07,2.23E+08,480.67,3162,0.5,0,0.02
3.39E+07,2.28E+08,480.67,3181,0.5,0,0.02
3.31E+07,2.32E+08,480.67,3204,0.5,0,0.02
3.27E+07,2.20E+08,480.67,3175,0.5,0,0.02
3.20E+07,2.16E+08,480.67,3125,0.5,0,0.02
3.17E+07,2.13E+08,480.67,3078,0.5,0,0.02
3.16E+07,2.21E+08,480.67,3080,0.5,0,0.02
3.17E+07,2.19E+08,480.67,3037,0.5,0,0.02
3.16E+07,2.21E+08,480.67,3021,0.5,0,0.02
3.09E+07,2.17E+08,480.67,3068,0.5,0,0.02
3.04E+07,2.15E+08,480.67,3059,0.5,0,0.02
3.02E+07,2.12E+08,480.67,3055,0.5,0,0.02
3.04E+07,2.11E+08,480.67,3104,0.5,0,0.02
3.06E+07,2.07E+08,480.67,3127,0.5,0,0.02
3.16E+07,2.13E+08,480.67,3144,0.5,0,0.02
3.21E+07,2.16E+08,480.67,3225,0.5,0,0.02
3.26E+07,2.24E+08,480.67,3119,0.5,0,0.02
3.22E+07,2.15E+08,480.67,3081,0.5,0,0.02
3.19E+07,2.13E+08,480.67,3066,0.5,0,0.02
3.18E+07,2.16E+08,480.67,3069,0.5,0,0.02
3.15E+07,2.14E+08,480.67,3110,0.5,0,0.02
3.16E+07,2.13E+08,480.67,3104,0.5,0,0.02
3.18E+07,2.16E+08,480.67,3157,0.5,0,0.02
3.22E+07,2.18E+08,480.67,3137,0.5,0,0.02
3.25E+07,2.25E+08,480.67,3149,0.5,0,0.02
3.21E+07,2.25E+08,480.67,3096,0.5,0,0.02
3.18E+07,2.19E+08,480.67,3080,0.5,0,0.02
3.17E+07,2.20E+08,480.67,3110,0.5,0,0.02
3.08E+07,2.10E+08,480.67,3112,0.5,0,0.02
3.15E+07,2.05E+08,480.67,3098,0.5,0,0.02
3.11E+07,2.08E+08,480.67,3105,0.5,0,0.02
3.12E+07,2.10E+08,480.67,3088,0.5,0,0.02
3.16E+07,2.12E+08,480.67,3108,0.5,0,0.02
3.10E+07,2.05E+08,480.67,3022,0.5,0,0.02
3.05E+07,2.06E+08,480.67,3012,0.5,0,0.02
3.00E+07,2.02E+08,480.67,3110,0.5,0,0.02
3.08E+07,2.14E+08,480.67,3053,0.5,0,0.02
3.00E+07,2.07E+08,480.67,3108,0.5,0,0.02
3.06E+07,2.09E+08,480.67,3064,0.5,0,0.02
3.07E+07,2.13E+08,480.67,2999,0.5,0,0.02
3.03E+07,2.10E+08,480.67,3037,0.5,0,0.02
3.08E+07,2.11E+08,480.67,3070,0.5,0,0.02
3.11E+07,2.14E+08,480.67,3085,0.5,0,0.02
3.05E+07,2.18E+08,480.67,3011,0.5,0,0.02
2.99E+07,2.13E+08,480.67,3012,0.5,0,0.02
2.99E+07,2.12E+08,480.67,3019,0.5,0,0.02
3.06E+07,2.16E+08,480.67,3064,0.5,0,0.02
3.08E+07,2.13E+08,480.67,3066,0.5,0,0.02
3.06E+07,2.03E+08,480.67,3050,0.5,0,0.02
3.05E+07,2.02E+08,480.67,3012,0.5,0,0.02
3.07E+07,2.02E+08,480.67,3078,0.5,0,0.02
3.05E+07,2.04E+08,480.67,3108,0.5,0,0.02
3.06E+07,2.17E+08,480.67,2994,0.5,0,0.02
3.13E+07,2.12E+08,480.67,3039,0.5,0,0.02
3.15E+07,2.24E+08,480.67,3028,0.5,0,0.02
3.10E+07,2.23E+08,480.67,3051,0.5,0,0.02
3.11E+07,2.22E+08,480.67,3080,0.5,0,0.02
3.17E+07,2.26E+08,480.67,3059,0.5,0,0.02
3.12E+07,2.23E+08,480.67,3035,0.5,0,0.02
3.10E+07,2.16E+08,480.67,3050,0.5,0,0.02
3.07E+07,2.18E+08,480.67,3038,0.5,0,0.02
3.04E+07,2.13E+08,480.67,3042,0.5,0,0.02
3.00E+07,2.02E+08,480.67,3091,0.5,0,0.02
3.13E+07,2.07E+08,480.67,3039,0.5,0,0.02
3.07E+07,1.99E+08,480.67,3049,0.5,0,0.02
3.08E+07,1.99E+08,480.67,3046,0.5,0,0.02
3.07E+07,1.95E+08,480.67,3189,0.5,0,0.02
3.11E+07,2.03E+08,480.67,3119,0.5,0,0.02
3.10E+07,2.03E+08,480.67,3093,0.5,0,0.02
3.10E+07,2.06E+08,480.67,3072,0.5,0,0.02
3.14E+07,2.15E+08,480.67,3153,0.5,0,0.02
3.15E+07,2.20E+08,480.67,3095,0.5,0,0.02
