SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Fdi
2.20E+06,1.04E+08,289.5,1957,0.5,0,0.02
2.60E+06,1.01E+08,289.5,2278,0.5,0,0.02
3.19E+06,1.06E+08,289.5,2454,0.5,0,0.02
3.83E+06,1.31E+08,289.5,2760,0.5,0,0.02
4.34E+06,1.51E+08,289.5,3056,0.5,0,0.02
5.14E+06,1.78E+08,289.5,3513,0.5,0,0.02
6.08E+06,2.08E+08,289.5,3842,0.5,0,0.02
6.60E+06,2.44E+08,289.5,4179,0.5,0,0.02
7.17E+06,2.66E+08,289.5,4419,0.5,0,0.02
7.72E+06,2.94E+08,289.5,4673,0.5,0,0.02
8.28E+06,3.11E+08,289.5,4816,0.5,0,0.02
8.87E+06,3.39E+08,289.5,5077,0.5,0,0.02
9.04E+06,3.53E+08,289.5,5375,0.5,0,0.02
9.46E+06,3.70E+08,289.5,5551,0.5,0,0.02
9.94E+06,3.79E+08,289.5,5725,0.5,0,0.02
1.06E+07,4.02E+08,289.5,5824,0.5,0,0.02
1.09E+07,4.30E+08,289.5,5607,0.5,0,0.02
1.12E+07,4.37E+08,289.5,5746,0.5,0,0.02
1.10E+07,4.34E+08,289.5,5821,0.5,0,0.02
1.10E+07,4.36E+08,289.5,5565,0.5,0,0.02
1.09E+07,4.32E+08,289.5,5738,0.5,0,0.02
1.08E+07,4.42E+08,289.5,5476,0.5,0,0.02
1.08E+07,4.44E+08,289.5,5412,0.5,0,0.02
1.10E+07,4.44E+08,289.5,5561,0.5,0,0.02
1.05E+07,4.34E+08,289.5,5543,0.5,0,0.02
1.05E+07,4.13E+08,289.5,5631,0.5,0,0.02
1.08E+07,4.28E+08,289.5,5840,0.5,0,0.02
1.14E+07,4.62E+08,289.5,5806,0.5,0,0.02
1.14E+07,4.66E+08,289.5,5741,0.5,0,0.02
1.13E+07,4.61E+08,289.5,5672,0.5,0,0.02
1.13E+07,4.37E+08,289.5,5716,0.5,0,0.02
1.11E+07,4.41E+08,289.5,5789,0.5,0,0.02
1.13E+07,4.46E+08,289.5,5680,0.5,0,0.02
1.12E+07,4.65E+08,289.5,5682,0.5,0,0.02
1.14E+07,4.58E+08,289.5,5647,0.5,0,0.02
1.15E+07,4.70E+08,289.5,5655,0.5,0,0.02
1.10E+07,4.46E+08,289.5,5768,0.5,0,0.02
1.07E+07,4.27E+08,289.5,5743,0.5,0,0.02
1.09E+07,4.30E+08,289.5,5743,0.5,0,0.02
