SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Fdi
6.55E+05,5.92E+07,259.67,1694,0.5,0,0.01
8.30E+05,4.69E+07,259.67,2000,0.5,0,0.01
1.27E+06,5.93E+07,259.67,2213,0.5,0,0.01
1.66E+06,7.69E+07,259.67,2539,0.5,0,0.01
2.05E+06,1.18E+08,259.67,2702,0.5,0,0.01
2.40E+06,1.45E+08,259.67,2826,0.5,0,0.01
2.63E+06,1.52E+08,259.67,3003,0.5,0,0.01
2.93E+06,1.74E+08,259.67,3021,0.5,0,0.01
3.01E+06,1.84E+08,259.67,3032,0.5,0,0.01
2.96E+06,1.96E+08,259.67,3043,0.5,0,0.01
2.98E+06,1.98E+08,259.67,3050,0.5,0,0.01
3.01E+06,1.91E+08,259.67,3108,0.5,0,0.01
3.14E+06,2.01E+08,259.67,3207,0.5,0,0.01
3.31E+06,2.04E+08,259.67,3161,0.5,0,0.01
3.33E+06,2.13E+08,259.67,3132,0.5,0,0.01
3.47E+06,2.26E+08,259.67,3075,0.5,0,0.01
3.20E+06,2.11E+08,259.67,3021,0.5,0,0.01
3.11E+06,1.92E+08,259.67,3121,0.5,0,0.01
3.23E+06,2.05E+08,259.67,3075,0.5,0,0.01
3.26E+06,2.09E+08,259.67,3051,0.5,0,0.01
3.15E+06,2.17E+08,259.67,3037,0.5,0,0.01
3.13E+06,2.10E+08,259.67,3083,0.5,0,0.01
3.16E+06,2.03E+08,259.67,3115,0.5,0,0.01
3.13E+06,2.01E+08,259.67,3077,0.5,0,0.01
3.10E+06,2.00E+08,259.67,3066,0.5,0,0.01
3.07E+06,1.93E+08,259.67,3113,0.5,0,0.01
3.13E+06,1.95E+08,259.67,3163,0.5,0,0.01
3.15E+06,2.05E+08,259.67,3060,0.5,0,0.01
3.18E+06,2.04E+08,259.67,3122,0.5,0,0.01
3.21E+06,2.18E+08,259.67,3137,0.5,0,0.01
3.25E+06,2.16E+08,259.67,3021,0.5,0,0.01
3.18E+06,2.18E+08,259.67,3050,0.5,0,0.01
3.04E+06,1.84E+08,259.67,3073,0.5,0,0.01
3.12E+06,1.94E+08,259.67,3103,0.5,0,0.01
3.20E+06,2.03E+08,259.67,3089,0.5,0,0.01
3.23E+06,2.06E+08,259.67,3074,0.5,0,0.01
3.21E+06,2.12E+08,259.67,3151,0.5,0,0.01
3.29E+06,2.29E+08,259.67,3228,0.5,0,0.01
3.28E+06,2.39E+08,259.67,3232,0.5,0,0.01
3.26E+06,2.13E+08,259.67,3143,0.5,0,0.01
3.13E+06,2.07E+08,259.67,3088,0.5,0,0.01
3.13E+06,2.13E+08,259.67,3074,0.5,0,0.01
3.16E+06,2.09E+08,259.67,3034,0.5,0,0.01
3.03E+06,2.01E+08,259.67,3120,0.5,0,0.01
3.07E+06,2.05E+08,259.67,3077,0.5,0,0.01
3.08E+06,2.11E+08,259.67,3109,0.5,0,0.01
3.08E+06,2.05E+08,259.67,3164,0.5,0,0.01
3.25E+06,2.12E+08,259.67,3185,0.5,0,0.01
3.30E+06,2.34E+08,259.67,3138,0.5,0,0.01
3.30E+06,2.34E+08,259.67,3188,0.5,0,0.01
3.22E+06,2.23E+08,259.67,3159,0.5,0,0.01
3.28E+06,2.12E+08,259.67,3162,0.5,0,0.01
3.32E+06,2.17E+08,259.67,3189,0.5,0,0.01
3.27E+06,2.07E+08,259.67,3100,0.5,0,0.01
3.16E+06,2.09E+08,259.67,3134,0.5,0,0.01
3.24E+06,2.22E+08,259.67,3099,0.5,0,0.01
3.26E+06,2.29E+08,259.67,3105,0.5,0,0.01
3.11E+06,2.13E+08,259.67,3047,0.5,0,0.01
3.02E+06,2.00E+08,259.67,3107,0.5,0,0.01
3.09E+06,1.97E+08,259.67,3154,0.5,0,0.01
3.22E+06,2.10E+08,259.67,3118,0.5,0,0.01
3.23E+06,2.24E+08,259.67,3131,0.5,0,0.01
3.21E+06,2.07E+08,259.67,3107,0.5,0,0.01
3.30E+06,2.17E+08,259.67,3071,0.5,0,0.01
3.30E+06,2.27E+08,259.67,3058,0.5,0,0.01
3.23E+06,2.05E+08,259.67,3109,0.5,0,0.01
3.20E+06,1.96E+08,259.67,3080,0.5,0,0.01
3.16E+06,1.94E+08,259.67,3081,0.5,0,0.01
3.12E+06,2.02E+08,259.67,3158,0.5,0,0.01
3.21E+06,2.07E+08,259.67,3108,0.5,0,0.01
3.23E+06,2.11E+08,259.67,3095,0.5,0,0.01
3.36E+06,2.24E+08,259.67,3085,0.5,0,0.01
3.25E+06,2.27E+08,259.67,3092,0.5,0,0.01
3.12E+06,2.16E+08,259.67,3098,0.5,0,0.01
3.12E+06,2.11E+08,259.67,3087,0.5,0,0.01
3.13E+06,2.08E+08,259.67,3150,0.5,0,0.01
3.21E+06,2.10E+08,259.67,3210,0.5,0,0.01
3.27E+06,2.35E+08,259.67,3129,0.5,0,0.01
3.20E+06,2.12E+08,259.67,3100,0.5,0,0.01
3.18E+06,2.01E+08,259.67,3134,0.5,0,0.01
3.18E+06,2.04E+08,259.67,3102,0.5,0,0.01
3.23E+06,1.95E+08,259.67,3059,0.5,0,0.01
3.15E+06,1.92E+08,259.67,3060,0.5,0,0.01
3.13E+06,1.98E+08,259.67,3125,0.5,0,0.01
3.10E+06,2.01E+08,259.67,3041,0.5,0,0.01
3.09E+06,1.96E+08,259.67,3052,0.5,0,0.01
