SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Fdi
3.48E+05,2.98E+08,153.6,1898,0.5,0,0.01
4.35E+05,2.75E+08,153.6,2245,0.5,0,0.01
5.61E+05,3.34E+08,153.6,2540,0.5,0,0.01
7.00E+05,4.26E+08,153.6,2625,0.5,0,0.01
8.23E+05,4.93E+08,153.6,2739,0.5,0,0.01
9.13E+05,5.70E+08,153.6,2908,0.5,0,0.01
9.25E+05,6.21E+08,153.6,3018,0.5,0,0.01
1.00E+06,6.08E+08,153.6,3039,0.5,0,0.01
1.02E+06,6.59E+08,153.6,2967,0.5,0,0.01
1.05E+06,6.77E+08,153.6,2941,0.5,0,0.01
1.04E+06,7.06E+08,153.6,2978,0.5,0,0.01
1.00E+06,6.94E+08,153.6,2957,0.5,0,0.01
1.02E+06,6.84E+08,153.6,2938,0.5,0,0.01
1.01E+06,6.87E+08,153.6,2908,0.5,0,0.01
9.85E+05,6.41E+08,153.6,2977,0.5,0,0.01
9.76E+05,6.45E+08,153.6,3015,0.5,0,0.01
1.02E+06,6.71E+08,153.6,2945,0.5,0,0.01
1.01E+06,6.87E+08,153.6,2940,0.5,0,0.01
1.04E+06,7.02E+08,153.6,2915,0.5,0,0.01
9.67E+05,6.87E+08,153.6,2916,0.5,0,0.01
9.60E+05,6.25E+08,153.6,2941,0.5,0,0.01
1.00E+06,6.67E+08,153.6,2923,0.5,0,0.01
1.00E+06,6.67E+08,153.6,2864,0.5,0,0.01
9.98E+05,6.59E+08,153.6,2821,0.5,0,0.01
9.56E+05,6.59E+08,153.6,2802,0.5,0,0.01
9.53E+05,6.24E+08,153.6,2793,0.5,0,0.01
9.10E+05,6.30E+08,153.6,2890,0.5,0,0.01
8.95E+05,6.18E+08,153.6,2893,0.5,0,0.01
9.60E+05,6.14E+08,153.6,2973,0.5,0,0.01
9.89E+05,6.43E+08,153.6,2967,0.5,0,0.01
1.00E+06,6.34E+08,153.6,2985,0.5,0,0.01
1.00E+06,6.47E+08,153.6,2996,0.5,0,0.01
9.87E+05,6.30E+08,153.6,3036,0.5,0,0.01
1.03E+06,6.41E+08,153.6,3029,0.5,0,0.01
1.04E+06,6.34E+08,153.6,3045,0.5,0,0.01
1.03E+06,6.35E+08,153.6,2910,0.5,0,0.01
1.02E+06,6.36E+08,153.6,2880,0.5,0,0.01
9.70E+05,6.35E+08,153.6,2995,0.5,0,0.01
1.01E+06,6.58E+08,153.6,2957,0.5,0,0.01
1.03E+06,6.76E+08,153.6,2897,0.5,0,0.01
1.00E+06,6.62E+08,153.6,2995,0.5,0,0.01
9.96E+05,6.46E+08,153.6,2982,0.5,0,0.01
9.65E+05,6.51E+08,153.6,2921,0.5,0,0.01
1.00E+06,6.01E+08,153.6,2926,0.5,0,0.01
1.02E+06,6.38E+08,153.6,3036,0.5,0,0.01
1.01E+06,6.47E+08,153.6,3027,0.5,0,0.01
1.01E+06,6.71E+08,153.6,3012,0.5,0,0.01
1.03E+06,6.78E+08,153.6,2972,0.5,0,0.01
1.04E+06,6.96E+08,153.6,2906,0.5,0,0.01
1.03E+06,6.81E+08,153.6,2911,0.5,0,0.01
1.02E+06,6.84E+08,153.6,2954,0.5,0,0.01
1.02E+06,7.05E+08,153.6,3011,0.5,0,0.01
1.04E+06,7.14E+08,153.6,3071,0.5,0,0.01
1.04E+06,7.22E+08,153.6,2987,0.5,0,0.01
1.03E+06,7.04E+08,153.6,2984,0.5,0,0.01
1.03E+06,7.02E+08,153.6,2968,0.5,0,0.01
1.01E+06,6.60E+08,153.6,2958,0.5,0,0.01
1.02E+06,6.51E+08,153.6,2823,0.5,0,0.01
9.86E+05,6.23E+08,153.6,2923,0.5,0,0.01
9.89E+05,6.35E+08,153.6,3027,0.5,0,0.01
1.00E+06,6.13E+08,153.6,2955,0.5,0,0.01
9.97E+05,6.32E+08,153.6,2950,0.5,0,0.01
1.01E+06,6.31E+08,153.6,2938,0.5,0,0.01
1.02E+06,6.22E+08,153.6,2962,0.5,0,0.01
9.76E+05,6.24E+08,153.6,2979,0.5,0,0.01
1.01E+06,6.02E+08,153.6,2956,0.5,0,0.01
1.01E+06,6.46E+08,153.6,3004,0.5,0,0.01
1.03E+06,6.99E+08,153.6,2946,0.5,0,0.01
9.95E+05,6.99E+08,153.6,2926,0.5,0,0.01
1.00E+06,6.90E+08,153.6,3025,0.5,0,0.01
1.03E+06,7.24E+08,153.6,2997,0.5,0,0.01
9.60E+05,6.63E+08,153.6,3009,0.5,0,0.01
9.86E+05,6.24E+08,153.6,3063,0.5,0,0.01
1.03E+06,6.30E+08,153.6,3059,0.5,0,0.01
1.08E+06,6.48E+08,153.6,3083,0.5,0,0.01
1.06E+06,6.45E+08,153.6,3065,0.5,0,0.01
1.05E+06,6.33E+08,153.6,3020,0.5,0,0.01
1.01E+06,6.58E+08,153.6,2945,0.5,0,0.01
1.02E+06,6.60E+08,153.6,2916,0.5,0,0.01
1.04E+06,7.01E+08,153.6,2957,0.5,0,0.01
1.01E+06,7.36E+08,153.6,2905,0.5,0,0.01
1.02E+06,6.81E+08,153.6,2917,0.5,0,0.01
1.02E+06,6.53E+08,153.6,3050,0.5,0,0.01
1.05E+06,6.64E+08,153.6,3015,0.5,0,0.01
1.06E+06,6.82E+08,153.6,3031,0.5,0,0.01
1.03E+06,6.45E+08,153.6,3039,0.5,0,0.01
1.04E+06,6.38E+08,153.6,3063,0.5,0,0.01
1.06E+06,6.57E+08,153.6,3135,0.5,0,0.01
1.07E+06,6.89E+08,153.6,3029,0.5,0,0.01
1.06E+06,6.75E+08,153.6,2953,0.5,0,0.01
1.01E+06,6.28E+08,153.6,2970,0.5,0,0.01
1.03E+06,6.45E+08,153.6,2994,0.5,0,0.01
9.94E+05,6.62E+08,153.6,3040,0.5,0,0.01
1.01E+06,6.70E+08,153.6,2552,0.5,0,0.01
7.04E+05,3.84E+08,153.6,2390,0.5,0,0.01
6.11E+05,2.98E+08,153.6,2143,0.5,0,0.01
5.29E+05,2.38E+08,153.6,2024,0.5,0,0.01
4.81E+05,2.22E+08,153.6,2012,0.5,0,0.01
4.79E+05,1.91E+08,153.6,1907,0.5,0,0.01
4.68E+05,2.13E+08,153.6,1959,0.5,0,0.01
4.52E+05,1.98E+08,153.6,1950,0.5,0,0.01
4.44E+05,1.92E+08,153.6,1976,0.5,0,0.01
4.62E+05,1.87E+08,153.6,1899,0.5,0,0.01
4.48E+05,1.86E+08,153.6,1856,0.5,0,0.01
4.49E+05,1.96E+08,153.6,1894,0.5,0,0.01
4.28E+05,1.63E+08,153.6,1805,0.5,0,0.01
4.04E+05,1.64E+08,153.6,1835,0.5,0,0.01
4.11E+05,1.75E+08,153.6,1876,0.5,0,0.01
4.22E+05,1.72E+08,153.6,1927,0.5,0,0.01
4.41E+05,1.81E+08,153.6,1883,0.5,0,0.01
4.32E+05,1.73E+08,153.6,1897,0.5,0,0.01
4.35E+05,1.68E+08,153.6,1886,0.5,0,0.01
4.41E+05,1.85E+08,153.6,1905,0.5,0,0.01
4.51E+05,2.01E+08,153.6,2041,0.5,0,0.01
4.84E+05,2.07E+08,153.6,1962,0.5,0,0.01
4.89E+05,2.13E+08,153.6,1931,0.5,0,0.01
4.56E+05,2.08E+08,153.6,1867,0.5,0,0.01
4.56E+05,1.92E+08,153.6,1858,0.5,0,0.01
