SumBiomass,Lp50_pop,age_mat_pop,num_pop,Finput,CVg,Gamma
1.12E+06,238.67,1.8702,2109,0.5,0,0.52
1.29E+06,238.67,1.8676,2534,0.5,0,0.52
1.61E+06,238.67,1.9037,2804,0.5,0,0.52
2.01E+06,238.67,1.9004,3008,0.5,0,0.52
2.33E+06,238.67,1.9163,3095,0.5,0,0.52
2.69E+06,238.67,1.9294,3197,0.5,0,0.52
2.90E+06,238.67,1.9472,3214,0.5,0,0.52
3.00E+06,238.67,1.963,3202,0.5,0,0.52
3.13E+06,238.67,1.9542,3261,0.5,0,0.52
3.13E+06,238.67,1.9572,3313,0.5,0,0.52
3.15E+06,238.67,1.9637,3249,0.5,0,0.52
3.20E+06,238.67,1.9564,3226,0.5,0,0.52
3.29E+06,238.67,1.9471,3211,0.5,0,0.52
3.28E+06,238.67,1.942,3246,0.5,0,0.52
3.30E+06,238.67,1.9355,3229,0.5,0,0.52
3.29E+06,238.67,1.9481,3249,0.5,0,0.52
3.31E+06,238.67,1.9285,3281,0.5,0,0.52
3.37E+06,238.67,1.9234,3258,0.5,0,0.52
3.35E+06,238.67,1.9153,3203,0.5,0,0.52
3.38E+06,238.67,1.908,3249,0.5,0,0.52
3.32E+06,238.67,1.9137,3213,0.5,0,0.52
3.32E+06,238.67,1.9232,3224,0.5,0,0.52
3.26E+06,238.67,1.9149,3325,0.5,0,0.52
3.30E+06,238.67,1.9222,3260,0.5,0,0.52
3.41E+06,238.67,1.9167,3241,0.5,0,0.52
3.41E+06,238.67,1.9209,3173,0.5,0,0.52
3.37E+06,238.67,1.9212,3248,0.5,0,0.52
3.39E+06,238.67,1.9213,3228,0.5,0,0.52
3.28E+06,238.67,1.9249,3162,0.5,0,0.52
3.27E+06,238.67,1.9146,3262,0.5,0,0.52
3.36E+06,238.67,1.9196,3238,0.5,0,0.52
3.26E+06,238.67,1.9203,3198,0.5,0,0.52
3.29E+06,238.67,1.9152,3213,0.5,0,0.52
3.34E+06,238.67,1.9083,3189,0.5,0,0.52
3.31E+06,238.67,1.9043,3167,0.5,0,0.52
3.32E+06,238.67,1.8978,3256,0.5,0,0.52
3.46E+06,238.67,1.9092,3279,0.5,0,0.52
3.50E+06,238.67,1.9114,3200,0.5,0,0.52
3.34E+06,238.67,1.9208,3205,0.5,0,0.52
3.35E+06,238.67,1.9108,3192,0.5,0,0.52
3.34E+06,238.67,1.9238,3268,0.5,0,0.52
3.37E+06,238.67,1.9244,3213,0.5,0,0.52
3.42E+06,238.67,1.9355,3199,0.5,0,0.52
3.42E+06,238.67,1.9165,3240,0.5,0,0.52
3.41E+06,238.67,1.923,3252,0.5,0,0.52
3.39E+06,238.67,1.9232,3243,0.5,0,0.52
3.43E+06,238.67,1.921,3245,0.5,0,0.52
3.42E+06,238.67,1.9158,3239,0.5,0,0.52
3.38E+06,238.67,1.917,3194,0.5,0,0.52
3.37E+06,238.67,1.9152,3249,0.5,0,0.52
3.37E+06,238.67,1.9224,3333,0.5,0,0.52
3.48E+06,238.67,1.9207,3318,0.5,0,0.52
3.50E+06,238.67,1.9259,3391,0.5,0,0.52
3.50E+06,238.67,1.9221,3345,0.5,0,0.52
3.61E+06,238.67,1.9314,3253,0.5,0,0.52
3.58E+06,238.67,1.9201,3254,0.5,0,0.52
3.56E+06,238.67,1.9235,3181,0.5,0,0.52
3.37E+06,238.67,1.9213,3244,0.5,0,0.52
3.35E+06,238.67,1.9184,3252,0.5,0,0.52
3.36E+06,238.67,1.9197,3198,0.5,0,0.52
3.36E+06,238.67,1.907,3182,0.5,0,0.52
3.33E+06,238.67,1.9177,3190,0.5,0,0.52
3.42E+06,238.67,1.9242,3230,0.5,0,0.52
3.44E+06,238.67,1.922,3258,0.5,0,0.52
3.54E+06,238.67,1.9175,3222,0.5,0,0.52
3.37E+06,238.67,1.9255,3276,0.5,0,0.52
3.41E+06,238.67,1.9246,3270,0.5,0,0.52
3.44E+06,238.67,1.9295,3249,0.5,0,0.52
3.50E+06,238.67,1.9149,3224,0.5,0,0.52
3.40E+06,238.67,1.9198,3219,0.5,0,0.52
3.37E+06,238.67,1.9177,3218,0.5,0,0.52
3.42E+06,238.67,1.9212,3204,0.5,0,0.52
3.44E+06,238.67,1.9114,3309,0.5,0,0.52
3.45E+06,238.67,1.905,3317,0.5,0,0.52
3.43E+06,238.67,1.9105,3277,0.5,0,0.52
3.43E+06,238.67,1.9105,3219,0.5,0,0.52
3.41E+06,238.67,1.9176,3204,0.5,0,0.52
3.34E+06,238.67,1.9343,3245,0.5,0,0.52
3.39E+06,238.67,1.9292,3233,0.5,0,0.52
3.42E+06,238.67,1.9211,3317,0.5,0,0.52
3.51E+06,238.67,1.9293,3292,0.5,0,0.52
3.55E+06,238.67,1.9298,3274,0.5,0,0.52
3.56E+06,238.67,1.9287,3197,0.5,0,0.52
3.51E+06,238.67,1.918,3245,0.5,0,0.52
3.50E+06,238.67,1.9105,3282,0.5,0,0.52
3.45E+06,238.67,1.9101,3225,0.5,0,0.52
3.37E+06,238.67,1.8939,3234,0.5,0,0.52
