SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
10532,4.16E+06,73.824,1174,0.5,0,0.5
16034,3.62E+06,73.824,1376,0.5,0,0.5
23167,4.98E+06,73.824,1546,0.5,0,0.5
29407,6.63E+06,73.824,1598,0.5,0,0.5
30818,8.53E+06,73.824,1688,0.5,0,0.5
30770,8.24E+06,73.824,1649,0.5,0,0.5
31689,8.59E+06,73.824,1755,0.5,0,0.5
33801,8.82E+06,73.824,1791,0.5,0,0.5
35234,9.31E+06,73.824,1877,0.5,0,0.5
37162,1.03E+07,73.824,1804,0.5,0,0.5
36408,1.00E+07,73.824,1774,0.5,0,0.5
37038,1.02E+07,73.824,1704,0.5,0,0.5
33125,9.65E+06,73.824,1717,0.5,0,0.5
32725,8.49E+06,73.824,1763,0.5,0,0.5
34808,9.27E+06,73.824,1764,0.5,0,0.5
34693,9.41E+06,73.824,1781,0.5,0,0.5
35243,9.69E+06,73.824,1825,0.5,0,0.5
37409,9.67E+06,73.824,1805,0.5,0,0.5
37612,9.68E+06,73.824,1819,0.5,0,0.5
36044,9.78E+06,73.824,1870,0.5,0,0.5
37340,1.02E+07,73.824,1750,0.5,0,0.5
35666,9.75E+06,73.824,1822,0.5,0,0.5
36075,9.83E+06,73.824,1792,0.5,0,0.5
34643,9.85E+06,73.824,1776,0.5,0,0.5
36155,9.57E+06,73.824,1761,0.5,0,0.5
35915,9.68E+06,73.824,1779,0.5,0,0.5
34280,9.08E+06,73.824,1762,0.5,0,0.5
33322,9.15E+06,73.824,1840,0.5,0,0.5
36309,8.97E+06,73.824,1784,0.5,0,0.5
35274,1.00E+07,73.824,1697,0.5,0,0.5
33621,9.95E+06,73.824,1808,0.5,0,0.5
34830,9.15E+06,73.824,1795,0.5,0,0.5
36071,9.68E+06,73.824,1751,0.5,0,0.5
37055,9.49E+06,73.824,1782,0.5,0,0.5
35505,9.79E+06,73.824,1813,0.5,0,0.5
35771,1.01E+07,73.824,1819,0.5,0,0.5
