SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
1.58E+07,1.59E+08,480.67,2663,0.5,0,0.52
1.78E+07,1.25E+08,480.67,2896,0.5,0,0.52
2.05E+07,1.34E+08,480.67,3041,0.5,0,0.52
2.36E+07,1.44E+08,480.67,3223,0.5,0,0.52
2.71E+07,1.69E+08,480.67,3230,0.5,0,0.52
2.91E+07,1.86E+08,480.67,3149,0.5,0,0.52
2.99E+07,1.98E+08,480.67,3193,0.5,0,0.52
3.11E+07,2.10E+08,480.67,3181,0.5,0,0.52
3.12E+07,2.24E+08,480.67,3251,0.5,0,0.52
3.12E+07,2.22E+08,480.67,3303,0.5,0,0.52
3.06E+07,2.21E+08,480.67,3276,0.5,0,0.52
3.11E+07,2.18E+08,480.67,3228,0.5,0,0.52
3.14E+07,2.12E+08,480.67,3148,0.5,0,0.52
3.14E+07,2.16E+08,480.67,3062,0.5,0,0.52
3.06E+07,2.12E+08,480.67,2996,0.5,0,0.52
3.00E+07,2.05E+08,480.67,2994,0.5,0,0.52
3.00E+07,2.03E+08,480.67,3022,0.5,0,0.52
2.99E+07,2.08E+08,480.67,2992,0.5,0,0.52
2.99E+07,2.05E+08,480.67,2953,0.5,0,0.52
2.98E+07,1.94E+08,480.67,3057,0.5,0,0.52
2.91E+07,1.96E+08,480.67,3170,0.5,0,0.52
2.97E+07,1.99E+08,480.67,3141,0.5,0,0.52
3.11E+07,2.04E+08,480.67,3078,0.5,0,0.52
3.13E+07,2.01E+08,480.67,3034,0.5,0,0.52
3.12E+07,2.08E+08,480.67,3054,0.5,0,0.52
3.14E+07,2.12E+08,480.67,3147,0.5,0,0.52
3.21E+07,2.22E+08,480.67,3084,0.5,0,0.52
3.17E+07,2.13E+08,480.67,3141,0.5,0,0.52
3.17E+07,2.16E+08,480.67,3123,0.5,0,0.52
3.14E+07,2.16E+08,480.67,3087,0.5,0,0.52
3.06E+07,2.13E+08,480.67,3078,0.5,0,0.52
3.03E+07,2.01E+08,480.67,3098,0.5,0,0.52
3.10E+07,2.01E+08,480.67,3095,0.5,0,0.52
3.09E+07,1.98E+08,480.67,3231,0.5,0,0.52
3.15E+07,1.99E+08,480.67,3340,0.5,0,0.52
3.22E+07,2.07E+08,480.67,3241,0.5,0,0.52
3.30E+07,2.08E+08,480.67,3245,0.5,0,0.52
3.35E+07,2.27E+08,480.67,3148,0.5,0,0.52
3.30E+07,2.30E+08,480.67,3179,0.5,0,0.52
3.20E+07,2.27E+08,480.67,3178,0.5,0,0.52
3.24E+07,2.26E+08,480.67,3157,0.5,0,0.52
3.21E+07,2.26E+08,480.67,3148,0.5,0,0.52
3.19E+07,2.26E+08,480.67,3197,0.5,0,0.52
3.16E+07,2.23E+08,480.67,3155,0.5,0,0.52
3.22E+07,2.18E+08,480.67,3105,0.5,0,0.52
3.23E+07,2.18E+08,480.67,3142,0.5,0,0.52
3.17E+07,2.18E+08,480.67,3070,0.5,0,0.52
3.12E+07,2.13E+08,480.67,3034,0.5,0,0.52
3.03E+07,2.05E+08,480.67,3087,0.5,0,0.52
3.07E+07,2.06E+08,480.67,3067,0.5,0,0.52
3.15E+07,2.05E+08,480.67,3069,0.5,0,0.52
3.08E+07,1.99E+08,480.67,3211,0.5,0,0.52
3.07E+07,2.08E+08,480.67,3181,0.5,0,0.52
3.15E+07,2.08E+08,480.67,3132,0.5,0,0.52
3.18E+07,2.08E+08,480.67,3129,0.5,0,0.52
3.19E+07,2.20E+08,480.67,3102,0.5,0,0.52
3.28E+07,2.26E+08,480.67,3071,0.5,0,0.52
3.17E+07,2.27E+08,480.67,3037,0.5,0,0.52
3.15E+07,2.23E+08,480.67,3113,0.5,0,0.52
3.16E+07,2.18E+08,480.67,3149,0.5,0,0.52
3.10E+07,2.11E+08,480.67,3030,0.5,0,0.52
3.02E+07,1.97E+08,480.67,3222,0.5,0,0.52
3.05E+07,1.90E+08,480.67,3303,0.5,0,0.52
3.12E+07,1.93E+08,480.67,3319,0.5,0,0.52
3.28E+07,1.98E+08,480.67,3403,0.5,0,0.52
3.39E+07,2.04E+08,480.67,3330,0.5,0,0.52
3.43E+07,2.16E+08,480.67,3310,0.5,0,0.52
3.45E+07,2.28E+08,480.67,3283,0.5,0,0.52
3.43E+07,2.36E+08,480.67,3292,0.5,0,0.52
3.37E+07,2.36E+08,480.67,3281,0.5,0,0.52
3.31E+07,2.31E+08,480.67,3193,0.5,0,0.52
3.24E+07,2.25E+08,480.67,3224,0.5,0,0.52
3.21E+07,2.29E+08,480.67,3195,0.5,0,0.52
3.20E+07,2.26E+08,480.67,3155,0.5,0,0.52
3.18E+07,2.22E+08,480.67,3067,0.5,0,0.52
3.15E+07,2.17E+08,480.67,3042,0.5,0,0.52
3.15E+07,2.16E+08,480.67,3059,0.5,0,0.52
3.20E+07,2.16E+08,480.67,3079,0.5,0,0.52
3.20E+07,2.27E+08,480.67,3050,0.5,0,0.52
3.12E+07,2.19E+08,480.67,2980,0.5,0,0.52
3.06E+07,2.16E+08,480.67,3084,0.5,0,0.52
3.08E+07,2.05E+08,480.67,3030,0.5,0,0.52
3.04E+07,2.03E+08,480.67,3095,0.5,0,0.52
3.07E+07,2.06E+08,480.67,3012,0.5,0,0.52
3.02E+07,2.08E+08,480.67,3076,0.5,0,0.52
3.11E+07,2.22E+08,480.67,3052,0.5,0,0.52
3.18E+07,2.26E+08,480.67,3039,0.5,0,0.52
3.09E+07,2.21E+08,480.67,2993,0.5,0,0.52
3.05E+07,2.10E+08,480.67,3069,0.5,0,0.52
3.10E+07,2.10E+08,480.67,2385,0.5,0,0.52
1.94E+07,1.25E+08,480.67,2064,0.5,0,0.52
1.40E+07,7.34E+07,480.67,1862,0.5,0,0.52
1.17E+07,5.49E+07,480.67,1749,0.5,0,0.52
1.08E+07,4.51E+07,480.67,1699,0.5,0,0.52
1.01E+07,4.47E+07,480.67,1670,0.5,0,0.52
9.69E+06,3.66E+07,480.67,1691,0.5,0,0.52
9.67E+06,3.31E+07,480.67,1614,0.5,0,0.52
9.25E+06,3.42E+07,480.67,1563,0.5,0,0.52
9.12E+06,3.67E+07,480.67,1584,0.5,0,0.52
8.79E+06,3.63E+07,480.67,1586,0.5,0,0.52
8.94E+06,3.86E+07,480.67,1590,0.5,0,0.52
8.67E+06,3.79E+07,480.67,1615,0.5,0,0.52
8.56E+06,3.72E+07,480.67,1580,0.5,0,0.52
8.50E+06,3.74E+07,480.67,1608,0.5,0,0.52
8.14E+06,3.52E+07,480.67,1581,0.5,0,0.52
8.14E+06,3.08E+07,480.67,1553,0.5,0,0.52
8.45E+06,3.38E+07,480.67,1509,0.5,0,0.52
8.00E+06,3.51E+07,480.67,1550,0.5,0,0.52
8.20E+06,3.62E+07,480.67,1576,0.5,0,0.52
7.98E+06,3.28E+07,480.67,1547,0.5,0,0.52
7.84E+06,2.88E+07,480.67,1550,0.5,0,0.52
7.89E+06,2.89E+07,480.67,1575,0.5,0,0.52
8.05E+06,2.79E+07,480.67,1542,0.5,0,0.52
7.75E+06,2.95E+07,480.67,1580,0.5,0,0.52
7.77E+06,2.87E+07,480.67,1566,0.5,0,0.52
7.90E+06,3.19E+07,480.67,1546,0.5,0,0.52
7.82E+06,3.34E+07,480.67,1554,0.5,0,0.52
7.72E+06,3.23E+07,480.67,1513,0.5,0,0.52
7.92E+06,3.44E+07,480.67,1547,0.5,0,0.52
7.80E+06,3.07E+07,480.67,1531,0.5,0,0.52
7.93E+06,2.89E+07,480.67,1519,0.5,0,0.52
7.82E+06,2.86E+07,480.67,1540,0.5,0,0.52
7.62E+06,2.78E+07,480.67,1550,0.5,0,0.52
7.96E+06,2.97E+07,480.67,1495,0.5,0,0.52
8.17E+06,3.39E+07,480.67,1557,0.5,0,0.52
7.85E+06,3.50E+07,480.67,1568,0.5,0,0.52
7.76E+06,3.29E+07,480.67,1539,0.5,0,0.52
7.73E+06,3.26E+07,480.67,1525,0.5,0,0.52
7.61E+06,3.10E+07,480.67,1466,0.5,0,0.52
7.44E+06,3.10E+07,480.67,1452,0.5,0,0.52
7.49E+06,2.97E+07,480.67,1516,0.5,0,0.52
7.78E+06,3.29E+07,480.67,1525,0.5,0,0.52
7.96E+06,3.40E+07,480.67,1522,0.5,0,0.52
7.96E+06,3.26E+07,480.67,1466,0.5,0,0.52
7.30E+06,2.85E+07,480.67,1458,0.5,0,0.52
7.20E+06,2.64E+07,480.67,1489,0.5,0,0.52
7.27E+06,2.86E+07,480.67,1555,0.5,0,0.52
7.60E+06,3.12E+07,480.67,1544,0.5,0,0.52
7.77E+06,3.34E+07,480.67,1562,0.5,0,0.52
7.93E+06,3.27E+07,480.67,1533,0.5,0,0.52
7.78E+06,3.06E+07,480.67,1474,0.5,0,0.52
