SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
2.25E+06,1.08E+08,289.5,2020,0.5,0,0.52
2.55E+06,1.00E+08,289.5,2275,0.5,0,0.52
3.17E+06,1.02E+08,289.5,2455,0.5,0,0.52
3.82E+06,1.27E+08,289.5,2776,0.5,0,0.52
4.49E+06,1.55E+08,289.5,3115,0.5,0,0.52
4.93E+06,1.75E+08,289.5,3352,0.5,0,0.52
5.33E+06,1.93E+08,289.5,3615,0.5,0,0.52
5.65E+06,2.08E+08,289.5,3857,0.5,0,0.52
6.10E+06,2.15E+08,289.5,4070,0.5,0,0.52
6.74E+06,2.44E+08,289.5,4194,0.5,0,0.52
7.18E+06,2.64E+08,289.5,4393,0.5,0,0.52
7.56E+06,2.87E+08,289.5,4632,0.5,0,0.52
8.06E+06,2.97E+08,289.5,4876,0.5,0,0.52
8.56E+06,3.13E+08,289.5,5023,0.5,0,0.52
8.88E+06,3.45E+08,289.5,5241,0.5,0,0.52
9.11E+06,3.59E+08,289.5,5471,0.5,0,0.52
9.61E+06,3.78E+08,289.5,5509,0.5,0,0.52
9.82E+06,3.83E+08,289.5,5599,0.5,0,0.52
1.02E+07,3.95E+08,289.5,5618,0.5,0,0.52
1.05E+07,4.20E+08,289.5,5729,0.5,0,0.52
1.08E+07,4.29E+08,289.5,5594,0.5,0,0.52
1.10E+07,4.31E+08,289.5,5541,0.5,0,0.52
1.08E+07,4.45E+08,289.5,5604,0.5,0,0.52
1.09E+07,4.56E+08,289.5,5578,0.5,0,0.52
1.09E+07,4.44E+08,289.5,5539,0.5,0,0.52
1.09E+07,4.33E+08,289.5,5674,0.5,0,0.52
1.08E+07,4.38E+08,289.5,5524,0.5,0,0.52
1.06E+07,4.37E+08,289.5,5615,0.5,0,0.52
1.07E+07,4.31E+08,289.5,5618,0.5,0,0.52
1.05E+07,4.04E+08,289.5,5702,0.5,0,0.52
1.08E+07,4.24E+08,289.5,5820,0.5,0,0.52
1.11E+07,4.34E+08,289.5,5772,0.5,0,0.52
1.10E+07,4.22E+08,289.5,5864,0.5,0,0.52
1.14E+07,4.32E+08,289.5,5847,0.5,0,0.52
1.12E+07,4.34E+08,289.5,5803,0.5,0,0.52
1.10E+07,4.29E+08,289.5,5741,0.5,0,0.52
1.12E+07,4.37E+08,289.5,5731,0.5,0,0.52
1.11E+07,4.52E+08,289.5,5505,0.5,0,0.52
1.09E+07,4.43E+08,289.5,5460,0.5,0,0.52
1.08E+07,4.36E+08,289.5,5580,0.5,0,0.52
1.08E+07,4.35E+08,289.5,5713,0.5,0,0.52
1.10E+07,4.45E+08,289.5,5851,0.5,0,0.52
1.12E+07,4.53E+08,289.5,5606,0.5,0,0.52
1.12E+07,4.48E+08,289.5,5542,0.5,0,0.52
1.11E+07,4.52E+08,289.5,5641,0.5,0,0.52
1.10E+07,4.44E+08,289.5,5486,0.5,0,0.52
1.08E+07,4.27E+08,289.5,5634,0.5,0,0.52
1.12E+07,4.48E+08,289.5,5569,0.5,0,0.52
1.10E+07,4.44E+08,289.5,5750,0.5,0,0.52
1.11E+07,4.47E+08,289.5,5645,0.5,0,0.52
1.13E+07,4.54E+08,289.5,5459,0.5,0,0.52
1.08E+07,4.32E+08,289.5,5677,0.5,0,0.52
1.10E+07,4.38E+08,289.5,5473,0.5,0,0.52
1.09E+07,4.41E+08,289.5,5542,0.5,0,0.52
1.06E+07,4.28E+08,289.5,5577,0.5,0,0.52
1.05E+07,4.17E+08,289.5,5764,0.5,0,0.52
1.09E+07,4.18E+08,289.5,5835,0.5,0,0.52
1.12E+07,4.38E+08,289.5,5885,0.5,0,0.52
1.11E+07,4.49E+08,289.5,5686,0.5,0,0.52
1.16E+07,4.72E+08,289.5,5704,0.5,0,0.52
1.10E+07,4.78E+08,289.5,5708,0.5,0,0.52
1.10E+07,4.41E+08,289.5,5831,0.5,0,0.52
1.11E+07,4.35E+08,289.5,5768,0.5,0,0.52
1.11E+07,4.25E+08,289.5,5774,0.5,0,0.52
1.10E+07,4.37E+08,289.5,5770,0.5,0,0.52
1.13E+07,4.42E+08,289.5,5860,0.5,0,0.52
1.13E+07,4.35E+08,289.5,5858,0.5,0,0.52
1.12E+07,4.32E+08,289.5,5978,0.5,0,0.52
1.15E+07,4.51E+08,289.5,5664,0.5,0,0.52
1.13E+07,4.49E+08,289.5,5499,0.5,0,0.52
1.11E+07,4.47E+08,289.5,5430,0.5,0,0.52
1.10E+07,4.36E+08,289.5,5612,0.5,0,0.52
1.08E+07,4.42E+08,289.5,5663,0.5,0,0.52
1.08E+07,4.25E+08,289.5,5820,0.5,0,0.52
1.09E+07,4.29E+08,289.5,5875,0.5,0,0.52
1.12E+07,4.46E+08,289.5,5829,0.5,0,0.52
1.15E+07,4.68E+08,289.5,5700,0.5,0,0.52
1.17E+07,4.76E+08,289.5,5652,0.5,0,0.52
1.11E+07,4.64E+08,289.5,5577,0.5,0,0.52
1.10E+07,4.38E+08,289.5,5480,0.5,0,0.52
1.09E+07,4.37E+08,289.5,5609,0.5,0,0.52
1.08E+07,4.30E+08,289.5,5734,0.5,0,0.52
1.09E+07,4.26E+08,289.5,5884,0.5,0,0.52
1.12E+07,4.46E+08,289.5,5664,0.5,0,0.52
1.12E+07,4.53E+08,289.5,5555,0.5,0,0.52
1.11E+07,4.53E+08,289.5,5497,0.5,0,0.52
1.11E+07,4.48E+08,289.5,5543,0.5,0,0.52
1.09E+07,4.51E+08,289.5,5648,0.5,0,0.52
1.08E+07,4.41E+08,289.5,5774,0.5,0,0.52
1.08E+07,4.47E+08,289.5,5762,0.5,0,0.52
1.10E+07,4.36E+08,289.5,5905,0.5,0,0.52
1.13E+07,4.29E+08,289.5,5930,0.5,0,0.52
1.15E+07,4.45E+08,289.5,5270,0.5,0,0.52
