SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
5.72E+05,4.89E+07,259.67,1619,0.5,0,0.22
8.06E+05,4.59E+07,259.67,1969,0.5,0,0.22
1.22E+06,5.49E+07,259.67,2178,0.5,0,0.22
1.69E+06,8.36E+07,259.67,2440,0.5,0,0.22
2.05E+06,1.19E+08,259.67,2647,0.5,0,0.22
2.33E+06,1.39E+08,259.67,2849,0.5,0,0.22
2.51E+06,1.39E+08,259.67,2903,0.5,0,0.22
2.68E+06,1.47E+08,259.67,2901,0.5,0,0.22
2.69E+06,1.62E+08,259.67,2932,0.5,0,0.22
2.78E+06,1.69E+08,259.67,2952,0.5,0,0.22
2.88E+06,1.90E+08,259.67,3080,0.5,0,0.22
3.00E+06,1.91E+08,259.67,3079,0.5,0,0.22
3.04E+06,1.95E+08,259.67,3048,0.5,0,0.22
3.14E+06,1.99E+08,259.67,2979,0.5,0,0.22
3.12E+06,2.07E+08,259.67,2992,0.5,0,0.22
2.98E+06,1.94E+08,259.67,3128,0.5,0,0.22
3.11E+06,1.98E+08,259.67,3170,0.5,0,0.22
3.07E+06,1.85E+08,259.67,3118,0.5,0,0.22
3.30E+06,2.09E+08,259.67,3052,0.5,0,0.22
3.19E+06,2.04E+08,259.67,3090,0.5,0,0.22
3.21E+06,2.08E+08,259.67,3151,0.5,0,0.22
3.27E+06,2.16E+08,259.67,3136,0.5,0,0.22
3.25E+06,2.11E+08,259.67,3003,0.5,0,0.22
3.14E+06,2.02E+08,259.67,3071,0.5,0,0.22
3.03E+06,1.98E+08,259.67,3063,0.5,0,0.22
3.02E+06,2.05E+08,259.67,3150,0.5,0,0.22
3.13E+06,2.19E+08,259.67,3096,0.5,0,0.22
3.24E+06,2.24E+08,259.67,3118,0.5,0,0.22
3.25E+06,2.20E+08,259.67,3077,0.5,0,0.22
3.15E+06,2.02E+08,259.67,3084,0.5,0,0.22
3.15E+06,1.99E+08,259.67,3060,0.5,0,0.22
3.20E+06,2.14E+08,259.67,3119,0.5,0,0.22
3.22E+06,2.27E+08,259.67,3109,0.5,0,0.22
3.18E+06,2.33E+08,259.67,3124,0.5,0,0.22
3.14E+06,2.09E+08,259.67,3048,0.5,0,0.22
3.13E+06,2.00E+08,259.67,3061,0.5,0,0.22
3.18E+06,2.16E+08,259.67,3061,0.5,0,0.22
3.16E+06,2.15E+08,259.67,3154,0.5,0,0.22
3.25E+06,2.20E+08,259.67,3052,0.5,0,0.22
3.22E+06,2.28E+08,259.67,3110,0.5,0,0.22
3.19E+06,2.16E+08,259.67,3094,0.5,0,0.22
3.15E+06,2.20E+08,259.67,3131,0.5,0,0.22
3.12E+06,2.09E+08,259.67,3013,0.5,0,0.22
3.11E+06,2.06E+08,259.67,3121,0.5,0,0.22
3.32E+06,2.22E+08,259.67,3005,0.5,0,0.22
3.21E+06,2.13E+08,259.67,3052,0.5,0,0.22
3.17E+06,2.21E+08,259.67,3041,0.5,0,0.22
3.10E+06,2.03E+08,259.67,3052,0.5,0,0.22
3.13E+06,2.03E+08,259.67,3086,0.5,0,0.22
3.14E+06,1.92E+08,259.67,3059,0.5,0,0.22
3.19E+06,2.04E+08,259.67,3091,0.5,0,0.22
3.07E+06,2.05E+08,259.67,3025,0.5,0,0.22
3.15E+06,2.02E+08,259.67,3068,0.5,0,0.22
3.18E+06,2.10E+08,259.67,3043,0.5,0,0.22
3.05E+06,2.06E+08,259.67,3015,0.5,0,0.22
3.06E+06,2.06E+08,259.67,3044,0.5,0,0.22
3.02E+06,2.07E+08,259.67,3075,0.5,0,0.22
3.15E+06,2.18E+08,259.67,3021,0.5,0,0.22
3.05E+06,2.07E+08,259.67,3078,0.5,0,0.22
3.06E+06,2.12E+08,259.67,3145,0.5,0,0.22
3.13E+06,2.15E+08,259.67,3161,0.5,0,0.22
3.23E+06,2.18E+08,259.67,3162,0.5,0,0.22
3.16E+06,2.06E+08,259.67,3235,0.5,0,0.22
3.20E+06,2.05E+08,259.67,3128,0.5,0,0.22
3.25E+06,1.96E+08,259.67,3091,0.5,0,0.22
3.26E+06,1.92E+08,259.67,3157,0.5,0,0.22
3.21E+06,2.08E+08,259.67,3152,0.5,0,0.22
3.14E+06,2.05E+08,259.67,3198,0.5,0,0.22
3.22E+06,2.17E+08,259.67,3180,0.5,0,0.22
3.23E+06,2.05E+08,259.67,3057,0.5,0,0.22
3.15E+06,2.02E+08,259.67,3148,0.5,0,0.22
3.18E+06,2.07E+08,259.67,3036,0.5,0,0.22
3.13E+06,1.94E+08,259.67,3120,0.5,0,0.22
3.07E+06,1.95E+08,259.67,3156,0.5,0,0.22
3.14E+06,2.06E+08,259.67,3104,0.5,0,0.22
3.30E+06,2.17E+08,259.67,3041,0.5,0,0.22
3.20E+06,2.23E+08,259.67,2995,0.5,0,0.22
3.05E+06,2.14E+08,259.67,2959,0.5,0,0.22
2.97E+06,1.95E+08,259.67,3025,0.5,0,0.22
2.93E+06,1.85E+08,259.67,3035,0.5,0,0.22
3.03E+06,1.94E+08,259.67,3044,0.5,0,0.22
3.03E+06,1.83E+08,259.67,3042,0.5,0,0.22
3.07E+06,1.97E+08,259.67,3145,0.5,0,0.22
3.16E+06,2.14E+08,259.67,3099,0.5,0,0.22
3.23E+06,2.07E+08,259.67,3133,0.5,0,0.22
3.25E+06,2.17E+08,259.67,3142,0.5,0,0.22
3.26E+06,2.07E+08,259.67,3072,0.5,0,0.22
3.19E+06,2.17E+08,259.67,3088,0.5,0,0.22
3.21E+06,2.16E+08,259.67,3046,0.5,0,0.22
3.19E+06,2.15E+08,259.67,3105,0.5,0,0.22
3.21E+06,2.20E+08,259.67,3058,0.5,0,0.22
3.19E+06,2.11E+08,259.67,2620,0.5,0,0.22
2.15E+06,1.37E+08,259.67,2462,0.5,0,0.22
1.83E+06,1.04E+08,259.67,2329,0.5,0,0.22
1.65E+06,8.71E+07,259.67,2134,0.5,0,0.22
1.48E+06,7.22E+07,259.67,2123,0.5,0,0.22
1.36E+06,6.41E+07,259.67,1976,0.5,0,0.22
1.29E+06,5.66E+07,259.67,1935,0.5,0,0.22
1.26E+06,5.38E+07,259.67,1860,0.5,0,0.22
1.23E+06,5.75E+07,259.67,1938,0.5,0,0.22
1.15E+06,4.36E+07,259.67,1813,0.5,0,0.22
1.18E+06,4.55E+07,259.67,1824,0.5,0,0.22
