SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,Gamma
3.65E+05,2.67E+08,153.6,1904,0.5,0,0.52
4.58E+05,2.80E+08,153.6,2211,0.5,0,0.52
5.63E+05,3.08E+08,153.6,2475,0.5,0,0.52
6.80E+05,3.85E+08,153.6,2654,0.5,0,0.52
8.20E+05,4.54E+08,153.6,2733,0.5,0,0.52
8.79E+05,5.20E+08,153.6,2889,0.5,0,0.52
9.01E+05,6.05E+08,153.6,2952,0.5,0,0.52
9.18E+05,6.13E+08,153.6,3018,0.5,0,0.52
9.81E+05,6.14E+08,153.6,3026,0.5,0,0.52
9.80E+05,6.09E+08,153.6,3031,0.5,0,0.52
1.03E+06,6.51E+08,153.6,3001,0.5,0,0.52
1.01E+06,6.42E+08,153.6,3025,0.5,0,0.52
9.89E+05,6.69E+08,153.6,2992,0.5,0,0.52
1.02E+06,6.08E+08,153.6,2992,0.5,0,0.52
1.02E+06,6.15E+08,153.6,3004,0.5,0,0.52
1.03E+06,6.56E+08,153.6,3074,0.5,0,0.52
1.03E+06,6.76E+08,153.6,2998,0.5,0,0.52
1.04E+06,6.64E+08,153.6,2952,0.5,0,0.52
1.02E+06,6.38E+08,153.6,3055,0.5,0,0.52
1.04E+06,6.76E+08,153.6,2998,0.5,0,0.52
1.03E+06,6.40E+08,153.6,2937,0.5,0,0.52
1.00E+06,5.91E+08,153.6,2962,0.5,0,0.52
9.88E+05,6.04E+08,153.6,2986,0.5,0,0.52
1.00E+06,5.81E+08,153.6,3071,0.5,0,0.52
1.01E+06,6.06E+08,153.6,3096,0.5,0,0.52
1.05E+06,6.51E+08,153.6,3103,0.5,0,0.52
1.06E+06,6.86E+08,153.6,3143,0.5,0,0.52
1.09E+06,7.52E+08,153.6,3047,0.5,0,0.52
1.07E+06,7.34E+08,153.6,3006,0.5,0,0.52
1.06E+06,7.19E+08,153.6,2999,0.5,0,0.52
1.05E+06,6.90E+08,153.6,3019,0.5,0,0.52
1.01E+06,6.55E+08,153.6,3049,0.5,0,0.52
1.00E+06,6.57E+08,153.6,2947,0.5,0,0.52
1.03E+06,6.55E+08,153.6,3043,0.5,0,0.52
1.02E+06,6.76E+08,153.6,2953,0.5,0,0.52
1.04E+06,6.74E+08,153.6,2884,0.5,0,0.52
9.90E+05,6.58E+08,153.6,2853,0.5,0,0.52
1.01E+06,6.60E+08,153.6,2866,0.5,0,0.52
9.69E+05,6.48E+08,153.6,2940,0.5,0,0.52
9.57E+05,6.24E+08,153.6,2969,0.5,0,0.52
1.00E+06,6.22E+08,153.6,2922,0.5,0,0.52
1.04E+06,6.37E+08,153.6,3029,0.5,0,0.52
1.04E+06,6.82E+08,153.6,3002,0.5,0,0.52
1.04E+06,6.88E+08,153.6,2965,0.5,0,0.52
1.03E+06,6.35E+08,153.6,2990,0.5,0,0.52
1.03E+06,6.48E+08,153.6,3031,0.5,0,0.52
1.04E+06,6.43E+08,153.6,3090,0.5,0,0.52
1.07E+06,6.91E+08,153.6,3024,0.5,0,0.52
1.04E+06,6.82E+08,153.6,2999,0.5,0,0.52
1.04E+06,6.76E+08,153.6,2971,0.5,0,0.52
1.04E+06,6.56E+08,153.6,3036,0.5,0,0.52
9.97E+05,6.31E+08,153.6,3074,0.5,0,0.52
1.02E+06,6.01E+08,153.6,3086,0.5,0,0.52
1.07E+06,6.57E+08,153.6,3180,0.5,0,0.52
1.08E+06,6.74E+08,153.6,3040,0.5,0,0.52
1.07E+06,6.81E+08,153.6,2980,0.5,0,0.52
1.04E+06,6.78E+08,153.6,2969,0.5,0,0.52
1.03E+06,6.58E+08,153.6,2982,0.5,0,0.52
1.02E+06,6.75E+08,153.6,2951,0.5,0,0.52
1.00E+06,6.56E+08,153.6,3023,0.5,0,0.52
9.89E+05,6.39E+08,153.6,3027,0.5,0,0.52
