SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,H2
9755.8,3.86E+06,73.824,1194,0.5,0,0.1
16695,3.66E+06,73.824,1414,0.5,0,0.1
24974,5.62E+06,73.824,1540,0.5,0,0.1
28708,6.62E+06,73.824,1609,0.5,0,0.1
30279,8.05E+06,73.824,1673,0.5,0,0.1
31416,7.98E+06,73.824,1686,0.5,0,0.1
32505,8.88E+06,73.824,1731,0.5,0,0.1
33740,9.51E+06,73.824,1725,0.5,0,0.1
34408,9.77E+06,73.824,1764,0.5,0,0.1
35155,1.01E+07,73.824,1701,0.5,0,0.1
33274,1.01E+07,73.824,1624,0.5,0,0.1
31068,8.22E+06,73.824,1674,0.5,0,0.1
32124,8.75E+06,73.824,1766,0.5,0,0.1
33878,8.92E+06,73.824,1804,0.5,0,0.1
37964,9.74E+06,73.824,1874,0.5,0,0.1
37024,1.03E+07,73.824,1766,0.5,0,0.1
35138,1.01E+07,73.824,1740,0.5,0,0.1
35286,9.87E+06,73.824,1787,0.5,0,0.1
35112,9.01E+06,73.824,1752,0.5,0,0.1
35032,9.49E+06,73.824,1731,0.5,0,0.1
34889,9.11E+06,73.824,1781,0.5,0,0.1
34552,9.34E+06,73.824,1785,0.5,0,0.1
36222,9.90E+06,73.824,1689,0.5,0,0.1
35792,1.03E+07,73.824,1709,0.5,0,0.1
31903,9.55E+06,73.824,1722,0.5,0,0.1
32842,8.89E+06,73.824,1771,0.5,0,0.1
36153,9.42E+06,73.824,1858,0.5,0,0.1
36978,1.01E+07,73.824,1734,0.5,0,0.1
37374,1.10E+07,73.824,1677,0.5,0,0.1
34469,9.97E+06,73.824,1613,0.5,0,0.1
31534,8.91E+06,73.824,1771,0.5,0,0.1
33912,9.34E+06,73.824,1811,0.5,0,0.1
34818,1.08E+07,73.824,1777,0.5,0,0.1
35528,1.05E+07,73.824,1735,0.5,0,0.1
35761,9.86E+06,73.824,1678,0.5,0,0.1
34145,9.60E+06,73.824,1729,0.5,0,0.1
33854,9.19E+06,73.824,1848,0.5,0,0.1
35896,8.98E+06,73.824,1831,0.5,0,0.1
37423,9.21E+06,73.824,1820,0.5,0,0.1
36643,9.48E+06,73.824,1769,0.5,0,0.1
34908,1.00E+07,73.824,1772,0.5,0,0.1
35224,9.73E+06,73.824,1822,0.5,0,0.1
34766,9.85E+06,73.824,1819,0.5,0,0.1
35398,9.58E+06,73.824,1772,0.5,0,0.1
35038,1.03E+07,73.824,1699,0.5,0,0.1
34770,1.07E+07,73.824,1703,0.5,0,0.1
34496,1.00E+07,73.824,1762,0.5,0,0.1
33302,9.44E+06,73.824,1776,0.5,0,0.1
35398,8.84E+06,73.824,1743,0.5,0,0.1
35317,9.24E+06,73.824,1814,0.5,0,0.1
34987,9.63E+06,73.824,1730,0.5,0,0.1
33746,9.78E+06,73.824,1710,0.5,0,0.1
33526,9.27E+06,73.824,1766,0.5,0,0.1
32987,8.93E+06,73.824,1773,0.5,0,0.1
34843,9.64E+06,73.824,1764,0.5,0,0.1
34947,9.33E+06,73.824,1801,0.5,0,0.1
35189,9.83E+06,73.824,1771,0.5,0,0.1
35628,9.62E+06,73.824,1748,0.5,0,0.1
35011,1.01E+07,73.824,1738,0.5,0,0.1
35865,9.78E+06,73.824,1792,0.5,0,0.1
35269,9.63E+06,73.824,1828,0.5,0,0.1
35538,9.81E+06,73.824,1823,0.5,0,0.1
37329,1.08E+07,73.824,1755,0.5,0,0.1
35294,9.80E+06,73.824,1787,0.5,0,0.1
35909,9.99E+06,73.824,1697,0.5,0,0.1
34166,9.83E+06,73.824,1806,0.5,0,0.1
35476,9.25E+06,73.824,1812,0.5,0,0.1
35266,9.11E+06,73.824,1797,0.5,0,0.1
36448,9.28E+06,73.824,1816,0.5,0,0.1
35884,9.36E+06,73.824,1761,0.5,0,0.1
35807,9.48E+06,73.824,1810,0.5,0,0.1
35318,9.41E+06,73.824,1793,0.5,0,0.1
37253,1.01E+07,73.824,1725,0.5,0,0.1
33949,1.05E+07,73.824,1704,0.5,0,0.1
33701,9.38E+06,73.824,1806,0.5,0,0.1
36283,9.46E+06,73.824,1832,0.5,0,0.1
35201,9.60E+06,73.824,1851,0.5,0,0.1
