SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,H2
1.62E+07,1.68E+08,480.67,2742,0.5,0,0.1
1.84E+07,1.31E+08,480.67,2971,0.5,0,0.1
2.10E+07,1.43E+08,480.67,3132,0.5,0,0.1
2.43E+07,1.58E+08,480.67,3394,0.5,0,0.1
2.78E+07,1.79E+08,480.67,3429,0.5,0,0.1
2.98E+07,1.85E+08,480.67,3285,0.5,0,0.1
3.14E+07,2.01E+08,480.67,3255,0.5,0,0.1
3.22E+07,2.09E+08,480.67,3196,0.5,0,0.1
3.18E+07,2.12E+08,480.67,3162,0.5,0,0.1
3.19E+07,2.19E+08,480.67,3171,0.5,0,0.1
3.08E+07,2.10E+08,480.67,3178,0.5,0,0.1
3.07E+07,2.06E+08,480.67,3118,0.5,0,0.1
3.08E+07,2.04E+08,480.67,3132,0.5,0,0.1
3.02E+07,2.08E+08,480.67,3117,0.5,0,0.1
3.07E+07,2.10E+08,480.67,3076,0.5,0,0.1
3.11E+07,2.06E+08,480.67,3114,0.5,0,0.1
3.12E+07,2.11E+08,480.67,3143,0.5,0,0.1
3.16E+07,2.09E+08,480.67,3103,0.5,0,0.1
3.17E+07,2.10E+08,480.67,3071,0.5,0,0.1
3.12E+07,2.14E+08,480.67,3097,0.5,0,0.1
3.15E+07,2.09E+08,480.67,3078,0.5,0,0.1
3.17E+07,2.14E+08,480.67,3087,0.5,0,0.1
3.14E+07,2.16E+08,480.67,3026,0.5,0,0.1
3.04E+07,2.13E+08,480.67,3043,0.5,0,0.1
3.07E+07,2.18E+08,480.67,3001,0.5,0,0.1
3.04E+07,2.22E+08,480.67,2946,0.5,0,0.1
2.96E+07,2.09E+08,480.67,3059,0.5,0,0.1
3.05E+07,2.13E+08,480.67,3062,0.5,0,0.1
3.06E+07,2.06E+08,480.67,3064,0.5,0,0.1
3.12E+07,2.12E+08,480.67,3097,0.5,0,0.1
3.12E+07,2.14E+08,480.67,3116,0.5,0,0.1
3.05E+07,2.13E+08,480.67,3109,0.5,0,0.1
3.04E+07,2.09E+08,480.67,3124,0.5,0,0.1
