SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,H2
2.11E+06,1.06E+08,289.5,2039,0.5,0,0.2
2.54E+06,9.16E+07,289.5,2259,0.5,0,0.2
3.14E+06,1.03E+08,289.5,2433,0.5,0,0.2
3.71E+06,1.19E+08,289.5,2742,0.5,0,0.2
4.32E+06,1.38E+08,289.5,2994,0.5,0,0.2
4.92E+06,1.65E+08,289.5,3294,0.5,0,0.2
5.47E+06,1.91E+08,289.5,3633,0.5,0,0.2
5.58E+06,2.11E+08,289.5,3875,0.5,0,0.2
6.26E+06,2.22E+08,289.5,4043,0.5,0,0.2
6.71E+06,2.45E+08,289.5,4221,0.5,0,0.2
7.15E+06,2.70E+08,289.5,4511,0.5,0,0.2
7.56E+06,2.85E+08,289.5,4661,0.5,0,0.2
8.00E+06,2.98E+08,289.5,4760,0.5,0,0.2
8.23E+06,2.96E+08,289.5,5000,0.5,0,0.2
8.75E+06,3.15E+08,289.5,5191,0.5,0,0.2
9.32E+06,3.44E+08,289.5,5410,0.5,0,0.2
9.64E+06,3.71E+08,289.5,5477,0.5,0,0.2
9.90E+06,3.88E+08,289.5,5590,0.5,0,0.2
1.01E+07,4.07E+08,289.5,5629,0.5,0,0.2
1.03E+07,3.95E+08,289.5,5698,0.5,0,0.2
1.03E+07,3.92E+08,289.5,5694,0.5,0,0.2
1.08E+07,4.09E+08,289.5,5684,0.5,0,0.2
1.10E+07,4.21E+08,289.5,5718,0.5,0,0.2
1.07E+07,4.26E+08,289.5,5792,0.5,0,0.2
1.09E+07,4.28E+08,289.5,5786,0.5,0,0.2
1.09E+07,4.29E+08,289.5,5734,0.5,0,0.2
1.11E+07,4.46E+08,289.5,5663,0.5,0,0.2
1.13E+07,4.54E+08,289.5,5600,0.5,0,0.2
1.10E+07,4.56E+08,289.5,5577,0.5,0,0.2
1.09E+07,4.33E+08,289.5,5680,0.5,0,0.2
1.08E+07,4.29E+08,289.5,5671,0.5,0,0.2
1.10E+07,4.16E+08,289.5,5745,0.5,0,0.2
1.13E+07,4.38E+08,289.5,5825,0.5,0,0.2
1.13E+07,4.49E+08,289.5,5727,0.5,0,0.2
1.14E+07,4.55E+08,289.5,5664,0.5,0,0.2
1.13E+07,4.56E+08,289.5,5610,0.5,0,0.2
1.13E+07,4.65E+08,289.5,5643,0.5,0,0.2
1.11E+07,4.61E+08,289.5,5598,0.5,0,0.2
1.09E+07,4.62E+08,289.5,5533,0.5,0,0.2
1.05E+07,4.44E+08,289.5,5626,0.5,0,0.2
1.05E+07,4.07E+08,289.5,5903,0.5,0,0.2
1.10E+07,4.27E+08,289.5,5904,0.5,0,0.2
1.13E+07,4.32E+08,289.5,5850,0.5,0,0.2
1.14E+07,4.45E+08,289.5,5993,0.5,0,0.2
1.17E+07,4.45E+08,289.5,5746,0.5,0,0.2
1.15E+07,4.46E+08,289.5,5573,0.5,0,0.2
1.12E+07,4.41E+08,289.5,5424,0.5,0,0.2
1.10E+07,4.21E+08,289.5,5559,0.5,0,0.2
1.06E+07,4.19E+08,289.5,5759,0.5,0,0.2
1.09E+07,4.22E+08,289.5,5846,0.5,0,0.2
1.08E+07,4.27E+08,289.5,5811,0.5,0,0.2
1.12E+07,4.16E+08,289.5,5838,0.5,0,0.2
1.12E+07,4.44E+08,289.5,5935,0.5,0,0.2
1.16E+07,4.58E+08,289.5,5727,0.5,0,0.2
1.14E+07,4.74E+08,289.5,5728,0.5,0,0.2
1.11E+07,4.76E+08,289.5,5649,0.5,0,0.2
1.08E+07,4.47E+08,289.5,5554,0.5,0,0.2
