SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,H2
6.47E+05,5.95E+07,259.67,1744,0.5,0,0.1
8.89E+05,5.08E+07,259.67,2062,0.5,0,0.1
1.33E+06,5.79E+07,259.67,2297,0.5,0,0.1
1.82E+06,8.97E+07,259.67,2530,0.5,0,0.1
2.15E+06,1.22E+08,259.67,2721,0.5,0,0.1
2.31E+06,1.36E+08,259.67,2806,0.5,0,0.1
2.51E+06,1.54E+08,259.67,2873,0.5,0,0.1
2.74E+06,1.55E+08,259.67,2910,0.5,0,0.1
2.77E+06,1.65E+08,259.67,2964,0.5,0,0.1
2.85E+06,1.87E+08,259.67,3020,0.5,0,0.1
2.94E+06,1.93E+08,259.67,3093,0.5,0,0.1
3.04E+06,2.01E+08,259.67,3101,0.5,0,0.1
3.12E+06,1.98E+08,259.67,3072,0.5,0,0.1
3.06E+06,2.04E+08,259.67,3089,0.5,0,0.1
3.10E+06,2.10E+08,259.67,3150,0.5,0,0.1
3.17E+06,2.12E+08,259.67,3119,0.5,0,0.1
3.16E+06,2.04E+08,259.67,3021,0.5,0,0.1
3.06E+06,1.94E+08,259.67,3022,0.5,0,0.1
3.07E+06,2.10E+08,259.67,3109,0.5,0,0.1
3.07E+06,2.17E+08,259.67,2952,0.5,0,0.1
3.07E+06,2.05E+08,259.67,3027,0.5,0,0.1
2.94E+06,1.79E+08,259.67,3109,0.5,0,0.1
3.08E+06,1.93E+08,259.67,3090,0.5,0,0.1
3.17E+06,2.03E+08,259.67,3157,0.5,0,0.1
3.13E+06,2.07E+08,259.67,3093,0.5,0,0.1
3.14E+06,2.11E+08,259.67,3085,0.5,0,0.1
3.09E+06,1.98E+08,259.67,3154,0.5,0,0.1
3.16E+06,1.91E+08,259.67,3161,0.5,0,0.1
3.14E+06,1.97E+08,259.67,3194,0.5,0,0.1
3.24E+06,1.98E+08,259.67,3205,0.5,0,0.1
3.35E+06,2.13E+08,259.67,3141,0.5,0,0.1
3.35E+06,2.27E+08,259.67,3056,0.5,0,0.1
3.26E+06,2.16E+08,259.67,3046,0.5,0,0.1
3.05E+06,1.89E+08,259.67,3110,0.5,0,0.1
3.15E+06,1.92E+08,259.67,3146,0.5,0,0.1
3.11E+06,1.92E+08,259.67,3144,0.5,0,0.1
3.12E+06,1.94E+08,259.67,3194,0.5,0,0.1
3.23E+06,2.10E+08,259.67,3192,0.5,0,0.1
3.22E+06,2.15E+08,259.67,3171,0.5,0,0.1
3.28E+06,2.14E+08,259.67,3203,0.5,0,0.1
3.29E+06,2.18E+08,259.67,3207,0.5,0,0.1
3.38E+06,2.17E+08,259.67,3255,0.5,0,0.1
3.46E+06,2.29E+08,259.67,3246,0.5,0,0.1
3.42E+06,2.38E+08,259.67,3109,0.5,0,0.1
3.31E+06,2.29E+08,259.67,3075,0.5,0,0.1
3.27E+06,2.29E+08,259.67,3037,0.5,0,0.1
3.19E+06,2.19E+08,259.67,2995,0.5,0,0.1
3.02E+06,2.04E+08,259.67,3023,0.5,0,0.1
3.07E+06,2.14E+08,259.67,3005,0.5,0,0.1
2.95E+06,2.01E+08,259.67,3090,0.5,0,0.1
3.03E+06,1.92E+08,259.67,3127,0.5,0,0.1
3.08E+06,2.01E+08,259.67,3111,0.5,0,0.1
3.16E+06,2.01E+08,259.67,3053,0.5,0,0.1
3.14E+06,2.01E+08,259.67,3121,0.5,0,0.1
3.24E+06,2.17E+08,259.67,3188,0.5,0,0.1
3.29E+06,2.19E+08,259.67,3114,0.5,0,0.1
3.22E+06,2.04E+08,259.67,3145,0.5,0,0.1
3.17E+06,1.97E+08,259.67,3126,0.5,0,0.1
3.18E+06,1.94E+08,259.67,3095,0.5,0,0.1
3.10E+06,1.99E+08,259.67,3073,0.5,0,0.1
3.22E+06,2.18E+08,259.67,3115,0.5,0,0.1
3.21E+06,2.16E+08,259.67,3114,0.5,0,0.1
3.22E+06,2.09E+08,259.67,3078,0.5,0,0.1
3.32E+06,2.08E+08,259.67,3080,0.5,0,0.1
3.28E+06,2.05E+08,259.67,3041,0.5,0,0.1
3.21E+06,1.97E+08,259.67,3134,0.5,0,0.1
3.26E+06,2.09E+08,259.67,3155,0.5,0,0.1
3.25E+06,2.07E+08,259.67,3159,0.5,0,0.1
3.15E+06,1.91E+08,259.67,3123,0.5,0,0.1
3.25E+06,2.03E+08,259.67,2998,0.5,0,0.1
3.24E+06,2.11E+08,259.67,3041,0.5,0,0.1
3.20E+06,2.14E+08,259.67,3015,0.5,0,0.1
3.18E+06,2.06E+08,259.67,2977,0.5,0,0.1
3.02E+06,2.01E+08,259.67,3121,0.5,0,0.1
3.05E+06,2.01E+08,259.67,3094,0.5,0,0.1
3.14E+06,2.02E+08,259.67,3123,0.5,0,0.1
3.18E+06,2.07E+08,259.67,3100,0.5,0,0.1
3.14E+06,2.01E+08,259.67,3112,0.5,0,0.1
3.15E+06,2.10E+08,259.67,3062,0.5,0,0.1
3.14E+06,2.12E+08,259.67,3153,0.5,0,0.1
3.18E+06,2.07E+08,259.67,3227,0.5,0,0.1
3.38E+06,2.23E+08,259.67,3200,0.5,0,0.1
3.33E+06,2.21E+08,259.67,3164,0.5,0,0.1
3.38E+06,2.11E+08,259.67,3107,0.5,0,0.1
3.25E+06,2.18E+08,259.67,3095,0.5,0,0.1
3.30E+06,2.16E+08,259.67,3177,0.5,0,0.1
3.26E+06,2.21E+08,259.67,3175,0.5,0,0.1
3.25E+06,2.17E+08,259.67,3215,0.5,0,0.1
3.28E+06,2.12E+08,259.67,3133,0.5,0,0.1
3.32E+06,2.30E+08,259.67,3107,0.5,0,0.1
3.21E+06,2.25E+08,259.67,3107,0.5,0,0.1
3.13E+06,2.15E+08,259.67,2632,0.5,0,0.1
2.09E+06,1.25E+08,259.67,2389,0.5,0,0.1
1.70E+06,7.52E+07,259.67,2168,0.5,0,0.1
1.58E+06,7.19E+07,259.67,2102,0.5,0,0.1
1.45E+06,5.56E+07,259.67,1987,0.5,0,0.1
1.30E+06,5.50E+07,259.67,2000,0.5,0,0.1
1.32E+06,5.22E+07,259.67,1974,0.5,0,0.1
1.29E+06,6.11E+07,259.67,2004,0.5,0,0.1
1.26E+06,5.28E+07,259.67,1984,0.5,0,0.1
1.27E+06,5.90E+07,259.67,1957,0.5,0,0.1
1.21E+06,5.66E+07,259.67,1968,0.5,0,0.1
1.22E+06,6.08E+07,259.67,1984,0.5,0,0.1
1.22E+06,4.94E+07,259.67,1903,0.5,0,0.1
1.20E+06,4.98E+07,259.67,1886,0.5,0,0.1
1.12E+06,4.54E+07,259.67,1845,0.5,0,0.1
1.13E+06,4.05E+07,259.67,1741,0.5,0,0.1
1.09E+06,4.37E+07,259.67,1723,0.5,0,0.1
1.04E+06,4.17E+07,259.67,1735,0.5,0,0.1
1.08E+06,5.05E+07,259.67,1846,0.5,0,0.1
1.05E+06,4.24E+07,259.67,1795,0.5,0,0.1
1.09E+06,4.13E+07,259.67,1803,0.5,0,0.1
1.10E+06,4.58E+07,259.67,1861,0.5,0,0.1
1.18E+06,5.60E+07,259.67,1932,0.5,0,0.1
1.22E+06,5.73E+07,259.67,1951,0.5,0,0.1
1.12E+06,4.75E+07,259.67,1898,0.5,0,0.1
1.19E+06,4.76E+07,259.67,1820,0.5,0,0.1
1.18E+06,4.85E+07,259.67,1865,0.5,0,0.1
1.16E+06,4.61E+07,259.67,1869,0.5,0,0.1
1.19E+06,5.39E+07,259.67,1857,0.5,0,0.1
1.09E+06,4.39E+07,259.67,1818,0.5,0,0.1
1.15E+06,5.25E+07,259.67,1870,0.5,0,0.1
1.16E+06,4.87E+07,259.67,1923,0.5,0,0.1
1.22E+06,5.06E+07,259.67,1887,0.5,0,0.1
1.20E+06,5.29E+07,259.67,1916,0.5,0,0.1
1.22E+06,5.75E+07,259.67,1973,0.5,0,0.1
1.27E+06,5.56E+07,259.67,1937,0.5,0,0.1
1.26E+06,5.75E+07,259.67,1975,0.5,0,0.1
1.22E+06,5.05E+07,259.67,1943,0.5,0,0.1
1.24E+06,5.11E+07,259.67,1959,0.5,0,0.1
1.28E+06,5.77E+07,259.67,1957,0.5,0,0.1
1.25E+06,5.36E+07,259.67,1970,0.5,0,0.1
1.23E+06,5.19E+07,259.67,1946,0.5,0,0.1
1.23E+06,5.40E+07,259.67,1957,0.5,0,0.1
1.20E+06,4.57E+07,259.67,1866,0.5,0,0.1
1.17E+06,4.42E+07,259.67,1850,0.5,0,0.1
1.19E+06,5.06E+07,259.67,1842,0.5,0,0.1
1.19E+06,5.53E+07,259.67,1901,0.5,0,0.1
1.18E+06,5.13E+07,259.67,1880,0.5,0,0.1
1.18E+06,5.24E+07,259.67,1874,0.5,0,0.1
1.17E+06,4.92E+07,259.67,1902,0.5,0,0.1
1.12E+06,4.93E+07,259.67,1834,0.5,0,0.1
1.11E+06,4.62E+07,259.67,1912,0.5,0,0.1
1.19E+06,5.04E+07,259.67,1877,0.5,0,0.1
1.14E+06,4.98E+07,259.67,1885,0.5,0,0.1
1.20E+06,4.66E+07,259.67,1800,0.5,0,0.1
1.14E+06,4.91E+07,259.67,1873,0.5,0,0.1
1.10E+06,4.73E+07,259.67,1909,0.5,0,0.1
1.13E+06,5.17E+07,259.67,1852,0.5,0,0.1
1.13E+06,4.47E+07,259.67,1856,0.5,0,0.1
1.15E+06,4.83E+07,259.67,1884,0.5,0,0.1
1.17E+06,4.87E+07,259.67,1904,0.5,0,0.1
1.15E+06,4.42E+07,259.67,1870,0.5,0,0.1
1.18E+06,4.73E+07,259.67,1854,0.5,0,0.1
1.13E+06,4.88E+07,259.67,1815,0.5,0,0.1
1.08E+06,4.52E+07,259.67,1850,0.5,0,0.1
1.16E+06,5.22E+07,259.67,1903,0.5,0,0.1
1.09E+06,4.84E+07,259.67,1882,0.5,0,0.1
1.21E+06,5.36E+07,259.67,1879,0.5,0,0.1
1.16E+06,4.06E+07,259.67,1828,0.5,0,0.1
1.13E+06,4.04E+07,259.67,1840,0.5,0,0.1
1.17E+06,5.04E+07,259.67,1870,0.5,0,0.1
1.20E+06,5.37E+07,259.67,1917,0.5,0,0.1
1.19E+06,4.96E+07,259.67,1873,0.5,0,0.1
1.21E+06,5.20E+07,259.67,1863,0.5,0,0.1
1.16E+06,5.25E+07,259.67,1826,0.5,0,0.1
