SumBiomass,fecund_pop,Lp50_pop,num_pop,Finput,CVg,H2
3.32E+05,2.70E+08,153.6,1845,0.5,0,0.12
4.12E+05,2.48E+08,153.6,2148,0.5,0,0.12
5.33E+05,2.64E+08,153.6,2378,0.5,0,0.12
6.64E+05,3.32E+08,153.6,2532,0.5,0,0.12
7.76E+05,4.23E+08,153.6,2738,0.5,0,0.12
8.60E+05,4.57E+08,153.6,2823,0.5,0,0.12
8.87E+05,5.32E+08,153.6,2912,0.5,0,0.12
9.23E+05,5.67E+08,153.6,2994,0.5,0,0.12
9.48E+05,6.11E+08,153.6,3071,0.5,0,0.12
9.88E+05,6.30E+08,153.6,3064,0.5,0,0.12
1.01E+06,6.43E+08,153.6,3001,0.5,0,0.12
1.01E+06,6.46E+08,153.6,2894,0.5,0,0.12
1.02E+06,6.23E+08,153.6,2907,0.5,0,0.12
9.82E+05,6.21E+08,153.6,2947,0.5,0,0.12
9.98E+05,6.57E+08,153.6,2928,0.5,0,0.12
9.81E+05,6.24E+08,153.6,2974,0.5,0,0.12
9.96E+05,6.25E+08,153.6,3011,0.5,0,0.12
1.01E+06,6.68E+08,153.6,2898,0.5,0,0.12
9.93E+05,6.47E+08,153.6,2978,0.5,0,0.12
1.01E+06,6.24E+08,153.6,2974,0.5,0,0.12
9.96E+05,6.01E+08,153.6,3032,0.5,0,0.12
1.02E+06,6.36E+08,153.6,3027,0.5,0,0.12
1.01E+06,6.68E+08,153.6,2937,0.5,0,0.12
1.00E+06,6.86E+08,153.6,2915,0.5,0,0.12
1.01E+06,6.83E+08,153.6,2923,0.5,0,0.12
9.92E+05,6.61E+08,153.6,2901,0.5,0,0.12
9.71E+05,6.21E+08,153.6,2960,0.5,0,0.12
1.01E+06,6.08E+08,153.6,3029,0.5,0,0.12
1.01E+06,6.22E+08,153.6,3103,0.5,0,0.12
1.04E+06,6.06E+08,153.6,3112,0.5,0,0.12
1.07E+06,6.27E+08,153.6,3088,0.5,0,0.12
1.05E+06,6.10E+08,153.6,3027,0.5,0,0.12
1.04E+06,6.27E+08,153.6,2997,0.5,0,0.12
1.03E+06,6.05E+08,153.6,3040,0.5,0,0.12
1.02E+06,6.36E+08,153.6,3038,0.5,0,0.12
1.04E+06,6.25E+08,153.6,3043,0.5,0,0.12
1.03E+06,6.59E+08,153.6,3106,0.5,0,0.12
1.07E+06,6.99E+08,153.6,3067,0.5,0,0.12
1.07E+06,6.77E+08,153.6,2915,0.5,0,0.12
1.00E+06,6.59E+08,153.6,2879,0.5,0,0.12
1.01E+06,6.71E+08,153.6,2866,0.5,0,0.12
9.81E+05,6.64E+08,153.6,2823,0.5,0,0.12
9.43E+05,5.94E+08,153.6,2881,0.5,0,0.12
9.64E+05,6.08E+08,153.6,2917,0.5,0,0.12
9.67E+05,6.26E+08,153.6,2945,0.5,0,0.12
9.74E+05,6.15E+08,153.6,2917,0.5,0,0.12
9.62E+05,6.14E+08,153.6,3049,0.5,0,0.12
1.01E+06,6.51E+08,153.6,3081,0.5,0,0.12
1.04E+06,6.58E+08,153.6,2972,0.5,0,0.12
1.05E+06,7.04E+08,153.6,2932,0.5,0,0.12
1.02E+06,6.74E+08,153.6,2913,0.5,0,0.12
9.97E+05,6.25E+08,153.6,3002,0.5,0,0.12
1.01E+06,6.72E+08,153.6,2962,0.5,0,0.12
1.00E+06,6.73E+08,153.6,2941,0.5,0,0.12
1.02E+06,6.84E+08,153.6,2929,0.5,0,0.12
9.99E+05,6.73E+08,153.6,2965,0.5,0,0.12
1.01E+06,6.85E+08,153.6,2951,0.5,0,0.12
1.01E+06,6.44E+08,153.6,2952,0.5,0,0.12
9.98E+05,6.55E+08,153.6,2890,0.5,0,0.12
9.85E+05,6.58E+08,153.6,2829,0.5,0,0.12
9.80E+05,6.42E+08,153.6,2910,0.5,0,0.12
9.66E+05,7.07E+08,153.6,2917,0.5,0,0.12
9.71E+05,6.75E+08,153.6,2871,0.5,0,0.12
9.38E+05,6.27E+08,153.6,2970,0.5,0,0.12
1.01E+06,6.38E+08,153.6,3027,0.5,0,0.12
1.03E+06,6.55E+08,153.6,3102,0.5,0,0.12
1.05E+06,6.59E+08,153.6,3159,0.5,0,0.12
1.07E+06,7.29E+08,153.6,3161,0.5,0,0.12
1.08E+06,7.51E+08,153.6,3034,0.5,0,0.12
1.01E+06,7.33E+08,153.6,3008,0.5,0,0.12
1.02E+06,6.73E+08,153.6,2969,0.5,0,0.12
1.01E+06,6.86E+08,153.6,2978,0.5,0,0.12
9.89E+05,6.51E+08,153.6,2865,0.5,0,0.12
1.00E+06,6.11E+08,153.6,2951,0.5,0,0.12
1.00E+06,6.29E+08,153.6,2994,0.5,0,0.12
9.93E+05,6.53E+08,153.6,3025,0.5,0,0.12
1.01E+06,6.45E+08,153.6,3082,0.5,0,0.12
1.06E+06,6.80E+08,153.6,3061,0.5,0,0.12
1.07E+06,7.09E+08,153.6,3022,0.5,0,0.12
1.05E+06,7.16E+08,153.6,3022,0.5,0,0.12
1.05E+06,6.97E+08,153.6,2984,0.5,0,0.12
1.02E+06,7.02E+08,153.6,2992,0.5,0,0.12
1.01E+06,7.08E+08,153.6,2940,0.5,0,0.12
1.00E+06,7.13E+08,153.6,2917,0.5,0,0.12
9.75E+05,6.20E+08,153.6,2952,0.5,0,0.12
9.91E+05,6.40E+08,153.6,2965,0.5,0,0.12
1.01E+06,6.66E+08,153.6,2914,0.5,0,0.12
1.00E+06,6.87E+08,153.6,2909,0.5,0,0.12
9.82E+05,6.47E+08,153.6,2921,0.5,0,0.12
